metric,value
n_events,100000000
n_hits_in_crystal,27021
n_hits_direct,27021
n_hits_pb_scat,0
n_hits_pb_born,0
flux_total_cm2_s,0.09173247
surface_cm2,11309.73355
rate_per_s,259.3674485
t_run_s,385553.3938
cps_total,0.07008367825
shield,0
shield_pb_mm,0
shield_cavity_mm,none
stand_mm,25
device_z_mm,0
screen_up,1
em_cut_mm,0.05
em_deex,std

bin_keV,counts,cps,counts_direct,counts_pb_scat,counts_pb_born
136,23,5.965451315e-05,23,0,0
137,178,0.0004616740583,178,0,0
138,28,7.262288557e-05,28,0,0
139,192,0.000497985501,192,0,0
140,36,9.337228145e-05,36,0,0
141,201,0.0005213285714,201,0,0
142,31,8.040390902e-05,31,0,0
143,182,0.0004720487562,182,0,0
144,43,0.0001115280028,43,0,0
145,176,0.0004564867093,176,0,0
146,48,0.0001244963753,48,0,0
147,192,0.000497985501,192,0,0
148,35,9.077860696e-05,35,0,0
149,154,0.0003994258706,154,0,0
150,32,8.299758351e-05,32,0,0
151,157,0.0004072068941,157,0,0
152,40,0.0001037469794,40,0,0
153,116,0.0003008662402,116,0,0
154,38,9.855963042e-05,38,0,0
155,136,0.0003527397299,136,0,0
156,23,5.965451315e-05,23,0,0
157,138,0.0003579270789,138,0,0
158,56,0.0001452457711,56,0,0
159,127,0.0003293966595,127,0,0
160,57,0.0001478394456,57,0,0
161,90,0.0002334307036,90,0,0
162,68,0.000176369865,68,0,0
163,107,0.0002775231699,107,0,0
164,53,0.0001374647477,53,0,0
165,102,0.0002645547974,102,0,0
166,50,0.0001296837242,50,0,0
167,92,0.0002386180526,92,0,0
168,58,0.0001504331201,58,0,0
169,105,0.0002723358209,105,0,0
170,55,0.0001426520967,55,0,0
171,87,0.0002256496802,87,0,0
172,58,0.0001504331201,58,0,0
173,79,0.0002049002843,79,0,0
174,52,0.0001348710732,52,0,0
175,79,0.0002049002843,79,0,0
176,26,6.74355366e-05,26,0,0
177,125,0.0003242093106,125,0,0
178,21,5.446716418e-05,21,0,0
179,118,0.0003060535892,118,0,0
180,19,4.927981521e-05,19,0,0
181,110,0.0002853041933,110,0,0
182,25,6.484186212e-05,25,0,0
183,104,0.0002697421464,104,0,0
184,26,6.74355366e-05,26,0,0
185,103,0.0002671484719,103,0,0
186,24,6.224818763e-05,24,0,0
187,96,0.0002489927505,96,0,0
188,30,7.781023454e-05,30,0,0
189,102,0.0002645547974,102,0,0
190,27,7.002921108e-05,27,0,0
191,104,0.0002697421464,104,0,0
192,25,6.484186212e-05,25,0,0
193,95,0.000246399076,95,0,0
194,22,5.706083866e-05,22,0,0
195,84,0.0002178686567,84,0,0
196,17,4.409246624e-05,17,0,0
197,71,0.0001841508884,71,0,0
198,10,2.593674485e-05,10,0,0
199,87,0.0002256496802,87,0,0
200,22,5.706083866e-05,22,0,0
201,85,0.0002204623312,85,0,0
202,14,3.631144278e-05,14,0,0
203,69,0.0001789635394,69,0,0
204,24,6.224818763e-05,24,0,0
205,68,0.000176369865,68,0,0
206,15,3.890511727e-05,15,0,0
207,70,0.0001815572139,70,0,0
208,35,9.077860696e-05,35,0,0
209,63,0.0001634014925,63,0,0
210,36,9.337228145e-05,36,0,0
211,48,0.0001244963753,48,0,0
212,35,9.077860696e-05,35,0,0
213,39,0.0001011533049,39,0,0
214,37,9.596595593e-05,37,0,0
215,50,0.0001296837242,50,0,0
216,35,9.077860696e-05,35,0,0
217,31,8.040390902e-05,31,0,0
218,32,8.299758351e-05,32,0,0
219,67,0.0001737761905,67,0,0
220,31,8.040390902e-05,31,0,0
221,48,0.0001244963753,48,0,0
