# Извлечено 2026-08-09 из IAEA Live Chart of Nuclides (nds.iaea.org/relnsd/v1/data?fields=gammas), схема уровней ВНЕ распада (ADOPTED LEVELS ENSDF), не decay_rads.
# Роль — ПЕРЕКРЁСТНАЯ ПРОВЕРКА к data/conversion_coeff_sum_peak_levels.csv, не замена: полнота tot_conv_coeff ниже (см. докстринг tools/fetch_adopted_gammas.py). Сверка — tools/check_cc_cross_source.py.
nuclide,E_keV,level,start_jp,end_jp,relative_intensity,multipolarity,mixing_ratio,tot_conv_coeff,tce_unc,source
Bi214,538.43,797.3->258.869,,(2)-,100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Bi214,543.82,838.994->295.2236,1+,1-,4.7,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Bi214,580.13,838.994->258.869,1+,(2)-,34.8,(E1),,0.00732,0.0001,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Bi214,785.96,838.994->53.226,1+,2-,100,E1,,0.00406,0.00006,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Bi214,839.06,838.994->0,1+,1-,54.8,(E1),,0.00359,0.00005,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Pb212,58.0,1335->1276.9,(8+),(6+),100,[E2],,120.0,80,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=K. Auranen and E.A. McCutchan"
Pb212,157.0,1276.9->1119.9,(6+),(4+),100,[E2],,1.028,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=K. Auranen and E.A. McCutchan"
Pb212,315.0,1119.9->804.9,(4+),(2+),100,[E2],,0.1001,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=K. Auranen and E.A. McCutchan"
Pb212,804.9,804.9->0,(2+),0+,100,[E2],,0.01027,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=K. Auranen and E.A. McCutchan"
Pb214,186.0,1365->1179,(6+),(4+),100,[E2],,0.552,0.014,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Pb214,344.0,1179->835,(4+),(2+),100,[E2],,0.0777,0.0013,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Pb214,835.0,835->0,(2+),0+,100,[E2],,0.00953,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,36.8,2544.92->2508.12,,(0+),,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,61.0,2266.4->2204.102,2+,1+,,[M1+E2],,40.0,32,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,71.1,2088.44->2017.314,(1 2+),0+,,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,104.4,1994.639->1890.306,1-,(2)+,,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
