nuclide,E_keV,I_percent,unc_I_percent,source,level,line_type
Bi214,528.300,0.007,0.003,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,1543.370->1015.041,gamma
Bi214,536.780,0.065,0.009,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2266.41->1729.613,gamma
Bi214,542.810,0.073,0.01,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2204.103->1661.282,gamma
Bi214,547.210,0.034,0.003,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2208.69->1661.282,gamma
Bi214,572.770,0.078,0.006,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,1847.446->1274.765,gamma
Bi214,595.240,0.0173,0.0014,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2010.831->1415.498,gamma
Bi214,600.000,0.008,0.003,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2719.26->2118.535,gamma
Bi214,609.321,45.44,0.19,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,609.318->0.0,gamma
Bi214,615.760,0.055,0.009,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,1890.306->1274.765,gamma
Bi214,617.020,0.027,0.003,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,1994.639->1377.681,gamma
Bi214,626.400,0.0041,0.0014,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2893.60->2266.41,gamma
Bi214,630.810,0.0164,0.0018,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2719.26->2088.44,gamma
Bi214,631.200,0.0177,0.0023,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2360.97->1729.613,gamma
Bi214,633.090,0.055,0.005,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2010.831->1377.681,gamma
Bi214,634.770,0.0064,0.0023,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2482.460->1847.446,gamma
Bi214,639.610,0.032,0.005,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2017.315->1377.681,gamma
Bi214,649.200,0.055,0.007,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2192.536->1543.370,gamma
Bi214,651.500,0.001818,0.000008,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2662.33->2010.831,gamma
Bi214,658.760,0.014,0.003,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2423.25->1764.520,gamma
Bi214,660.870,0.047,0.005,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2204.103->1543.370,gamma
Bi214,665.446,1.54,0.011,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,1274.765->609.318,gamma
Bi214,677.410,0.0055,0.0023,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2694.62->2017.315,gamma
Bi214,683.210,0.082,0.009,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2447.701->1764.520,gamma
