             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22
 *****************  New condition ***********************************************************************************************
W-index= 11.1 Rc(GV)= 1.3758 depth(g/cm2)= 231.465 g= 10
 Particle name = neutro
 E(MeV/n) /cos            -1          -0.9          -0.8          -0.7          -0.6          -0.5          -0.4          -0.3          -0.2          -0.1             0           0.1           0.2           0.3           0.4           0.5           0.6           0.7           0.8           0.9             1 (/(MeV/n)/cm2/s/sr)
  4.496500e-07  1.902754e+04  1.907484e+04  1.912207e+04  1.916921e+04  1.921627e+04  1.926321e+04  1.931002e+04  1.935666e+04  1.940309e+04  1.944918e+04  1.945961e+04  1.945647e+04  1.947864e+04  1.950401e+04  1.953173e+04  1.956132e+04  1.959252e+04  1.962510e+04  1.965893e+04  1.969389e+04  1.972988e+04
  5.660800e-07  1.601549e+04  1.605530e+04  1.609505e+04  1.613474e+04  1.617434e+04  1.621385e+04  1.625325e+04  1.629251e+04  1.633159e+04  1.637039e+04  1.637917e+04  1.637654e+04  1.639521e+04  1.641657e+04  1.643990e+04  1.646482e+04  1.649109e+04  1.651852e+04  1.654701e+04  1.657644e+04  1.660674e+04
  7.126400e-07  1.335872e+04  1.339193e+04  1.342509e+04  1.345819e+04  1.349122e+04  1.352418e+04  1.355705e+04  1.358980e+04  1.362239e+04  1.365475e+04  1.366208e+04  1.365990e+04  1.367547e+04  1.369330e+04  1.371277e+04  1.373356e+04  1.375548e+04  1.377837e+04  1.380214e+04  1.382669e+04  1.385198e+04
  8.971700e-07  1.105947e+04  1.108697e+04  1.111442e+04  1.114183e+04  1.116918e+04  1.119646e+04  1.122367e+04  1.125078e+04  1.127777e+04  1.130456e+04  1.131063e+04  1.130883e+04  1.132173e+04  1.133649e+04  1.135262e+04  1.136984e+04  1.138799e+04  1.140695e+04  1.142664e+04  1.144698e+04  1.146792e+04
  1.129400e-06  9.101126e+03  9.123753e+03  9.146345e+03  9.168897e+03  9.191403e+03  9.213857e+03  9.236248e+03  9.258561e+03  9.280768e+03  9.302815e+03  9.307818e+03  9.306338e+03  9.316958e+03  9.329114e+03  9.342391e+03  9.356571e+03  9.371515e+03  9.387126e+03  9.403333e+03  9.420079e+03  9.437321e+03
  1.421900e-06  7.452405e+03  7.470933e+03  7.489433e+03  7.507900e+03  7.526330e+03  7.544717e+03  7.563052e+03  7.581322e+03  7.599507e+03  7.617560e+03  7.621660e+03  7.620453e+03  7.629154e+03  7.639114e+03  7.649991e+03  7.661609e+03  7.673852e+03  7.686642e+03  7.699920e+03  7.713641e+03  7.727767e+03
  1.790100e-06  6.078835e+03  6.093949e+03  6.109040e+03  6.124103e+03  6.139137e+03  6.154135e+03  6.169091e+03  6.183995e+03  6.198828e+03  6.213554e+03  6.216901e+03  6.215921e+03  6.223022e+03  6.231151e+03  6.240030e+03  6.249511e+03  6.259504e+03  6.269943e+03  6.280781e+03  6.291980e+03  6.303509e+03
  2.253600e-06  4.943267e+03  4.955558e+03  4.967830e+03  4.980080e+03  4.992305e+03  5.004502e+03  5.016665e+03  5.028784e+03  5.040847e+03  5.052822e+03  5.055546e+03  5.054753e+03  5.060532e+03  5.067147e+03  5.074372e+03  5.082088e+03  5.090219e+03  5.098715e+03  5.107534e+03  5.116647e+03  5.126029e+03
  2.837100e-06  4.010080e+03  4.020051e+03  4.030007e+03  4.039945e+03  4.049863e+03  4.059757e+03  4.069624e+03  4.079456e+03  4.089242e+03  4.098957e+03  4.101168e+03  4.100528e+03  4.105220e+03  4.110590e+03  4.116456e+03  4.122720e+03  4.129322e+03  4.136219e+03  4.143379e+03  4.150778e+03  4.158395e+03
  3.571700e-06  3.246815e+03  3.254889e+03  3.262950e+03  3.270997e+03  3.279028e+03  3.287039e+03  3.295029e+03  3.302989e+03  3.310913e+03  3.318779e+03  3.320571e+03  3.320056e+03  3.323858e+03  3.328210e+03  3.332964e+03  3.338040e+03  3.343390e+03  3.348979e+03  3.354782e+03  3.360777e+03  3.366950e+03
