cond,header,particle,flux_total,flux_lt0.5eV,flux_0.5eV-0.1MeV,flux_gt1MeV,flux_gt10MeV,Edep_dose_uSvph
5,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 5.794000e+01 Lon(deg)= 1.015430e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",muminus,8.4931e-02,0.0000e+00,7.7036e-08,8.4927e-02,8.4711e-02,1.0497e-01
5,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 5.794000e+01 Lon(deg)= 1.015430e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",electron,9.0982e-01,0.0000e+00,4.3998e-02,6.9555e-01,3.9656e-01,3.5303e-01
5,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 5.794000e+01 Lon(deg)= 1.015430e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",positron,4.3048e-01,0.0000e+00,4.6985e-04,4.1637e-01,3.1874e-01,3.1127e-01
5,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 5.794000e+01 Lon(deg)= 1.015430e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",photon,3.2026e+01,0.0000e+00,1.2815e+01,6.2993e+00,2.4363e+00,6.7945e-01
6,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 5.463500e+01 Lon(deg)= 1.121480e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",neutron,4.8909e+00,1.4285e-01,1.8629e+00,2.0007e+00,1.1105e+00,2.6862e+00
6,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 5.463500e+01 Lon(deg)= 1.121480e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",proton,2.7202e-01,0.0000e+00,6.2463e-06,2.7194e-01,2.6967e-01,1.2068e+00
6,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 5.463500e+01 Lon(deg)= 1.121480e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",muplus,9.2668e-02,0.0000e+00,7.1333e-08,9.2664e-02,9.2461e-02,1.1411e-01
6,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 5.463500e+01 Lon(deg)= 1.121480e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",muminus,8.3047e-02,0.0000e+00,7.1841e-08,8.3043e-02,8.2842e-02,1.0255e-01
6,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 5.463500e+01 Lon(deg)= 1.121480e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",electron,8.7755e-01,0.0000e+00,4.2437e-02,6.7087e-01,3.8250e-01,3.4051e-01
6,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 5.463500e+01 Lon(deg)= 1.121480e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",positron,4.1511e-01,0.0000e+00,4.5306e-04,4.0149e-01,3.0736e-01,3.0015e-01
6,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 5.463500e+01 Lon(deg)= 1.121480e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",photon,3.0158e+01,0.0000e+00,1.2068e+01,5.9319e+00,2.2942e+00,6.3981e-01
7,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 5.055100e+01 Lon(deg)= 1.209910e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",neutron,3.9520e+00,1.1494e-01,1.4954e+00,1.6283e+00,9.0587e-01,2.1995e+00
7,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 5.055100e+01 Lon(deg)= 1.209910e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",proton,2.0173e-01,0.0000e+00,4.9125e-06,2.0167e-01,1.9989e-01,9.0184e-01
7,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 5.055100e+01 Lon(deg)= 1.209910e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",muplus,8.7366e-02,0.0000e+00,6.1450e-08,8.7362e-02,8.7188e-02,1.0745e-01
7,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 5.055100e+01 Lon(deg)= 1.209910e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",muminus,7.9475e-02,0.0000e+00,6.2998e-08,7.9471e-02,7.9294e-02,9.8019e-02
7,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 5.055100e+01 Lon(deg)= 1.209910e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",electron,8.2050e-01,0.0000e+00,3.9678e-02,6.2726e-01,3.5763e-01,3.1837e-01
7,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 5.055100e+01 Lon(deg)= 1.209910e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",positron,3.8978e-01,0.0000e+00,4.2542e-04,3.7700e-01,2.8861e-01,2.8184e-01
7,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 5.055100e+01 Lon(deg)= 1.209910e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",photon,2.7462e+01,0.0000e+00,1.0989e+01,5.4017e+00,2.0891e+00,5.8263e-01
8,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 4.590900e+01 Lon(deg)= 1.283390e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",neutron,3.0558e+00,8.8674e-02,1.1489e+00,1.2663e+00,7.0231e-01,1.7193e+00
8,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 4.590900e+01 Lon(deg)= 1.283390e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",proton,1.4937e-01,0.0000e+00,3.5115e-06,1.4932e-01,1.4805e-01,6.7323e-01
8,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 4.590900e+01 Lon(deg)= 1.283390e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",muplus,7.9599e-02,0.0000e+00,5.0467e-08,7.9596e-02,7.9453e-02,9.7786e-02
8,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 4.590900e+01 Lon(deg)= 1.283390e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",muminus,7.3627e-02,0.0000e+00,5.2216e-08,7.3624e-02,7.3476e-02,9.0689e-02
8,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 4.590900e+01 Lon(deg)= 1.283390e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",electron,7.4479e-01,0.0000e+00,3.6017e-02,5.6938e-01,3.2463e-01,2.8899e-01
8,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 4.590900e+01 Lon(deg)= 1.283390e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",positron,3.5822e-01,0.0000e+00,3.9097e-04,3.4647e-01,2.6524e-01,2.5902e-01
8,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 4.590900e+01 Lon(deg)= 1.283390e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",photon,2.4630e+01,0.0000e+00,9.8556e+00,4.8445e+00,1.8736e+00,5.2253e-01
9,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 4.087000e+01 Lon(deg)= 1.345070e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",neutron,1.8705e+00,5.4353e-02,6.9825e-01,7.7887e-01,4.2649e-01,1.0624e+00
9,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 4.087000e+01 Lon(deg)= 1.345070e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",proton,1.0195e-01,0.0000e+00,2.3338e-06,1.0192e-01,1.0108e-01,4.6360e-01
