cond,header,particle,flux_total,flux_lt0.5eV,flux_0.5eV-0.1MeV,flux_gt1MeV,flux_gt10MeV,Edep_dose_uSvph
7,"W-index= 6.880000e+01 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",muplus,8.7530e-02,0.0000e+00,6.9745e-08,8.7526e-02,8.7327e-02,1.0790e-01
7,"W-index= 6.880000e+01 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",muminus,7.8772e-02,0.0000e+00,6.9633e-08,7.8768e-02,7.8572e-02,9.7360e-02
7,"W-index= 6.880000e+01 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",electron,8.3091e-01,0.0000e+00,4.0182e-02,6.3522e-01,3.6217e-01,3.2241e-01
7,"W-index= 6.880000e+01 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",positron,3.9355e-01,0.0000e+00,4.2954e-04,3.8065e-01,2.9140e-01,2.8457e-01
7,"W-index= 6.880000e+01 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",photon,2.9053e+01,0.0000e+00,1.1625e+01,5.7145e+00,2.2101e+00,6.1637e-01
8,"W-index= 1.000000e+02 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",neutron,4.4165e+00,1.2905e-01,1.6837e+00,1.8043e+00,9.9963e-01,2.4209e+00
8,"W-index= 1.000000e+02 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",proton,2.3120e-01,0.0000e+00,5.3961e-06,2.3113e-01,2.2917e-01,1.0281e+00
8,"W-index= 1.000000e+02 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",muplus,8.2001e-02,0.0000e+00,6.2241e-08,8.1997e-02,8.1819e-02,1.0104e-01
8,"W-index= 1.000000e+02 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",muminus,7.4092e-02,0.0000e+00,6.2493e-08,7.4089e-02,7.3912e-02,9.1535e-02
8,"W-index= 1.000000e+02 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",electron,7.6866e-01,0.0000e+00,3.7171e-02,5.8763e-01,3.3503e-01,2.9825e-01
8,"W-index= 1.000000e+02 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",positron,3.6441e-01,0.0000e+00,3.9773e-04,3.5246e-01,2.6982e-01,2.6349e-01
8,"W-index= 1.000000e+02 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",photon,2.6419e+01,0.0000e+00,1.0571e+01,5.1964e+00,2.0097e+00,5.6049e-01
9,"W-index= 1.500000e+02 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",neutron,3.2810e+00,9.5702e-02,1.2480e+00,1.3435e+00,7.4452e-01,1.8086e+00
9,"W-index= 1.500000e+02 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",proton,1.7056e-01,0.0000e+00,4.1115e-06,1.7050e-01,1.6901e-01,7.5895e-01
9,"W-index= 1.500000e+02 Rc(GV)= 1.375800e+00 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",muplus,7.3390e-02,0.0000e+00,5.0556e-08,7.3387e-02,7.3242e-02,9.0348e-02
