config,matrix,rho_gcm3,E_keV,eps_p,d_eps_p,eps_t,d_eps_t,f_abs
full_organic_0.50,organic,0.5000,477.0,7.205000e-04,1.90e-05,2.972500e-03,3.86e-05,0.9449
full_organic_0.50,organic,0.5000,583.2,5.110000e-04,1.60e-05,2.607500e-03,3.61e-05,0.9884
full_organic_0.50,organic,0.5000,609.3,4.720000e-04,1.54e-05,2.504500e-03,3.54e-05,0.9682
full_organic_0.50,organic,0.5000,661.7,4.110000e-04,1.43e-05,2.446500e-03,3.50e-05,1.0012
full_organic_0.50,organic,0.5000,795.0,2.730000e-04,1.17e-05,2.156000e-03,3.28e-05,0.8558
full_organic_0.50,organic,0.5000,911.2,2.320000e-04,1.08e-05,2.064000e-03,3.21e-05,0.9915
full_organic_0.50,organic,0.5000,968.9,1.980000e-04,9.95e-06,1.943500e-03,3.12e-05,0.8684
full_organic_0.50,organic,0.5000,1120.3,1.590000e-04,8.92e-06,1.800000e-03,3.00e-05,1.0127
full_organic_0.50,organic,0.5000,1173.2,1.450000e-04,8.51e-06,1.741000e-03,2.95e-05,0.9667
full_organic_0.50,organic,0.5000,1332.5,1.325000e-04,8.14e-06,1.690000e-03,2.91e-05,1.1229
full_organic_0.50,organic,0.5000,1460.8,1.060000e-04,7.28e-06,1.620500e-03,2.85e-05,1.1977
full_organic_0.50,organic,0.5000,1764.5,6.400000e-05,5.66e-06,1.538000e-03,2.77e-05,0.8707
full_organic_0.50,organic,0.5000,2204.0,4.350000e-05,4.66e-06,1.507000e-03,2.74e-05,0.7436
full_organic_0.50,organic,0.5000,2614.5,3.600000e-05,4.24e-06,1.457000e-03,2.70e-05,0.9351
full_organic_0.50,organic,0.5000,3000.0,2.250000e-05,3.35e-06,1.372500e-03,2.62e-05,0.9000
full_soil_0.80,soil,0.8000,30.0,2.184000e-03,3.30e-05,2.212500e-03,3.33e-05,0.2997
full_soil_0.80,soil,0.8000,46.5,4.152500e-03,4.56e-05,4.938000e-03,4.97e-05,0.6608
full_soil_0.80,soil,0.8000,59.5,5.170500e-03,5.08e-05,8.193000e-03,6.40e-05,0.7830
full_soil_0.80,soil,0.8000,80.0,5.522500e-03,5.25e-05,9.487000e-03,6.89e-05,0.7921
full_soil_0.80,soil,0.8000,92.6,5.797000e-03,5.38e-05,9.889000e-03,7.03e-05,0.8482
full_soil_0.80,soil,0.8000,122.0,5.338000e-03,5.17e-05,9.469000e-03,6.88e-05,0.8249
full_soil_0.80,soil,0.8000,186.0,3.885500e-03,4.41e-05,7.641000e-03,6.18e-05,0.8691
full_soil_0.80,soil,0.8000,238.6,2.687500e-03,3.67e-05,6.141000e-03,5.54e-05,0.8788
full_soil_0.80,soil,0.8000,295.2,1.814500e-03,3.01e-05,5.002000e-03,5.00e-05,0.8856
full_soil_0.80,soil,0.8000,351.9,1.267000e-03,2.52e-05,4.194000e-03,4.58e-05,0.8979
full_soil_0.80,soil,0.8000,477.0,7.200000e-04,1.90e-05,3.267000e-03,4.04e-05,0.9443
full_soil_0.80,soil,0.8000,583.2,4.800000e-04,1.55e-05,2.852000e-03,3.78e-05,0.9284
full_soil_0.80,soil,0.8000,609.3,4.240000e-04,1.46e-05,2.795000e-03,3.74e-05,0.8697
full_soil_0.80,soil,0.8000,661.7,3.755000e-04,1.37e-05,2.661000e-03,3.65e-05,0.9147
full_soil_0.80,soil,0.8000,795.0,2.635000e-04,1.15e-05,2.352000e-03,3.43e-05,0.8260
full_soil_0.80,soil,0.8000,911.2,2.065000e-04,1.02e-05,2.160500e-03,3.29e-05,0.8825
full_soil_0.80,soil,0.8000,968.9,1.850000e-04,9.62e-06,2.074000e-03,3.22e-05,0.8114
full_soil_0.80,soil,0.8000,1120.3,1.430000e-04,8.46e-06,1.885000e-03,3.07e-05,0.9108
full_soil_0.80,soil,0.8000,1173.2,1.315000e-04,8.11e-06,1.904000e-03,3.09e-05,0.8767
full_soil_0.80,soil,0.8000,1332.5,1.160000e-04,7.62e-06,1.840500e-03,3.03e-05,0.9831
full_soil_0.80,soil,0.8000,1460.8,1.005000e-04,7.09e-06,1.746000e-03,2.95e-05,1.1356
full_soil_0.80,soil,0.8000,1764.5,7.500000e-05,6.12e-06,1.628500e-03,2.85e-05,1.0204
full_soil_0.80,soil,0.8000,2204.0,5.000000e-05,5.00e-06,1.595000e-03,2.82e-05,0.8547
full_soil_0.80,soil,0.8000,2614.5,3.650000e-05,4.27e-06,1.558500e-03,2.79e-05,0.9481
full_soil_0.80,soil,0.8000,3000.0,2.150000e-05,3.28e-06,1.478000e-03,2.72e-05,0.8600
full_soil_1.20,soil,1.2000,30.0,1.499000e-03,2.74e-05,1.520000e-03,2.76e-05,0.2057
full_soil_1.20,soil,1.2000,46.5,3.439500e-03,4.15e-05,4.091000e-03,4.52e-05,0.5473
full_soil_1.20,soil,1.2000,59.5,4.515500e-03,4.75e-05,7.328000e-03,6.05e-05,0.6838
full_soil_1.20,soil,1.2000,80.0,5.047500e-03,5.02e-05,9.374500e-03,6.85e-05,0.7240
full_soil_1.20,soil,1.2000,92.6,5.238000e-03,5.12e-05,9.947500e-03,7.05e-05,0.7664
full_soil_1.20,soil,1.2000,122.0,5.001000e-03,5.00e-05,9.860000e-03,7.02e-05,0.7728
full_soil_1.20,soil,1.2000,186.0,3.569000e-03,4.22e-05,8.212500e-03,6.41e-05,0.7983
full_soil_1.20,soil,1.2000,238.6,2.485000e-03,3.52e-05,6.659000e-03,5.77e-05,0.8126
full_soil_1.20,soil,1.2000,295.2,1.722000e-03,2.93e-05,5.516000e-03,5.25e-05,0.8404
full_soil_1.20,soil,1.2000,351.9,1.211000e-03,2.46e-05,4.767500e-03,4.88e-05,0.8583
full_soil_1.20,soil,1.2000,477.0,6.565000e-04,1.81e-05,3.799500e-03,4.36e-05,0.8610
full_soil_1.20,soil,1.2000,583.2,4.585000e-04,1.51e-05,3.289000e-03,4.06e-05,0.8868
full_soil_1.20,soil,1.2000,609.3,4.265000e-04,1.46e-05,3.105500e-03,3.94e-05,0.8749
full_soil_1.20,soil,1.2000,661.7,3.610000e-04,1.34e-05,2.966000e-03,3.85e-05,0.8794
full_soil_1.20,soil,1.2000,795.0,2.735000e-04,1.17e-05,2.717500e-03,3.69e-05,0.8574
full_soil_1.20,soil,1.2000,911.2,1.960000e-04,9.90e-06,2.424000e-03,3.48e-05,0.8376
full_soil_1.20,soil,1.2000,968.9,1.795000e-04,9.47e-06,2.356000e-03,3.43e-05,0.7873
full_soil_1.20,soil,1.2000,1120.3,1.330000e-04,8.15e-06,2.194500e-03,3.31e-05,0.8471
full_soil_1.20,soil,1.2000,1173.2,1.250000e-04,7.91e-06,2.187500e-03,3.31e-05,0.8333
full_soil_1.20,soil,1.2000,1332.5,1.195000e-04,7.73e-06,2.051500e-03,3.20e-05,1.0127
full_soil_1.20,soil,1.2000,1460.8,9.700000e-05,6.96e-06,1.917500e-03,3.10e-05,1.0960
full_soil_1.20,soil,1.2000,1764.5,6.450000e-05,5.68e-06,1.822000e-03,3.02e-05,0.8776
full_soil_1.20,soil,1.2000,2204.0,3.900000e-05,4.42e-06,1.720000e-03,2.93e-05,0.6667
full_soil_1.20,soil,1.2000,2614.5,3.450000e-05,4.15e-06,1.664000e-03,2.88e-05,0.8961
full_soil_1.20,soil,1.2000,3000.0,2.200000e-05,3.32e-06,1.698500e-03,2.91e-05,0.8800
full_soil_1.60,soil,1.6000,30.0,1.111000e-03,2.36e-05,1.120500e-03,2.37e-05,0.1524
full_soil_1.60,soil,1.6000,46.5,2.861000e-03,3.78e-05,3.445000e-03,4.15e-05,0.4552
full_soil_1.60,soil,1.6000,59.5,4.039500e-03,4.49e-05,6.637500e-03,5.76e-05,0.6117
full_soil_1.60,soil,1.6000,80.0,4.517000e-03,4.75e-05,8.880500e-03,6.66e-05,0.6479
full_soil_1.60,soil,1.6000,92.6,4.837500e-03,4.92e-05,9.702000e-03,6.96e-05,0.7078
full_soil_1.60,soil,1.6000,122.0,4.543000e-03,4.77e-05,1.006950e-02,7.10e-05,0.7021
full_soil_1.60,soil,1.6000,186.0,3.368000e-03,4.10e-05,8.736000e-03,6.61e-05,0.7534
full_soil_1.60,soil,1.6000,238.6,2.339500e-03,3.42e-05,7.273500e-03,6.03e-05,0.7650
full_soil_1.60,soil,1.6000,295.2,1.605000e-03,2.83e-05,6.108000e-03,5.53e-05,0.7833
full_soil_1.60,soil,1.6000,351.9,1.150500e-03,2.40e-05,5.276000e-03,5.14e-05,0.8154
full_soil_1.60,soil,1.6000,477.0,6.475000e-04,1.80e-05,4.248500e-03,4.61e-05,0.8492
full_soil_1.60,soil,1.6000,583.2,4.155000e-04,1.44e-05,3.581500e-03,4.23e-05,0.8037
full_soil_1.60,soil,1.6000,609.3,3.930000e-04,1.40e-05,3.557500e-03,4.22e-05,0.8062
full_soil_1.60,soil,1.6000,661.7,3.290000e-04,1.28e-05,3.410000e-03,4.13e-05,0.8015
full_soil_1.60,soil,1.6000,795.0,2.510000e-04,1.12e-05,2.982000e-03,3.86e-05,0.7868
full_soil_1.60,soil,1.6000,911.2,2.085000e-04,1.02e-05,2.795000e-03,3.74e-05,0.8910
full_soil_1.60,soil,1.6000,968.9,1.715000e-04,9.26e-06,2.647000e-03,3.64e-05,0.7522
full_soil_1.60,soil,1.6000,1120.3,1.375000e-04,8.29e-06,2.442500e-03,3.49e-05,0.8758
full_soil_1.60,soil,1.6000,1173.2,1.420000e-04,8.43e-06,2.390500e-03,3.46e-05,0.9467
full_soil_1.60,soil,1.6000,1332.5,1.165000e-04,7.63e-06,2.308000e-03,3.40e-05,0.9873
full_soil_1.60,soil,1.6000,1460.8,9.050000e-05,6.73e-06,2.190500e-03,3.31e-05,1.0226
full_soil_1.60,soil,1.6000,1764.5,7.450000e-05,6.10e-06,2.035000e-03,3.19e-05,1.0136
full_soil_1.60,soil,1.6000,2204.0,3.600000e-05,4.24e-06,1.902500e-03,3.08e-05,0.6154
full_soil_1.60,soil,1.6000,2614.5,3.500000e-05,4.18e-06,1.885000e-03,3.07e-05,0.9091
full_soil_1.60,soil,1.6000,3000.0,2.350000e-05,3.43e-06,1.853000e-03,3.04e-05,0.9400
full_water_1.00,water,1.0000,30.0,5.747500e-03,5.36e-05,6.100500e-03,5.52e-05,0.7886
full_water_1.00,water,1.0000,46.5,5.340500e-03,5.17e-05,8.018000e-03,6.33e-05,0.8498
full_water_1.00,water,1.0000,59.5,5.515500e-03,5.25e-05,1.059200e-02,7.28e-05,0.8352
full_water_1.00,water,1.0000,80.0,5.602500e-03,5.29e-05,1.135700e-02,7.54e-05,0.8036
full_water_1.00,water,1.0000,92.6,5.524000e-03,5.26e-05,1.132100e-02,7.52e-05,0.8083
full_water_1.00,water,1.0000,122.0,5.187000e-03,5.09e-05,1.068950e-02,7.31e-05,0.8016
full_water_1.00,water,1.0000,186.0,3.667500e-03,4.28e-05,8.410000e-03,6.48e-05,0.8204
full_water_1.00,water,1.0000,238.6,2.526000e-03,3.55e-05,6.743000e-03,5.81e-05,0.8260
full_water_1.00,water,1.0000,295.2,1.757500e-03,2.96e-05,5.566000e-03,5.28e-05,0.8577
full_water_1.00,water,1.0000,351.9,1.192000e-03,2.44e-05,4.740500e-03,4.87e-05,0.8448
full_water_1.00,water,1.0000,477.0,6.690000e-04,1.83e-05,3.659000e-03,4.28e-05,0.8774
full_water_1.00,water,1.0000,583.2,4.690000e-04,1.53e-05,3.118000e-03,3.95e-05,0.9072
full_water_1.00,water,1.0000,609.3,3.960000e-04,1.41e-05,3.089500e-03,3.93e-05,0.8123
full_water_1.00,water,1.0000,661.7,3.690000e-04,1.36e-05,2.971500e-03,3.85e-05,0.8989
full_water_1.00,water,1.0000,795.0,2.510000e-04,1.12e-05,2.631000e-03,3.63e-05,0.7868
full_water_1.00,water,1.0000,911.2,2.060000e-04,1.01e-05,2.385000e-03,3.45e-05,0.8803
full_water_1.00,water,1.0000,968.9,1.965000e-04,9.91e-06,2.389000e-03,3.46e-05,0.8618
full_water_1.00,water,1.0000,1120.3,1.380000e-04,8.31e-06,2.162500e-03,3.29e-05,0.8790
full_water_1.00,water,1.0000,1173.2,1.315000e-04,8.11e-06,2.109000e-03,3.25e-05,0.8767
full_water_1.00,water,1.0000,1332.5,1.050000e-04,7.25e-06,1.990500e-03,3.15e-05,0.8898
full_water_1.00,water,1.0000,1460.8,1.125000e-04,7.50e-06,1.914500e-03,3.09e-05,1.2712
full_water_1.00,water,1.0000,1764.5,6.800000e-05,5.83e-06,1.785500e-03,2.99e-05,0.9252
full_water_1.00,water,1.0000,2204.0,5.500000e-05,5.24e-06,1.756500e-03,2.96e-05,0.9402
full_water_1.00,water,1.0000,2614.5,3.200000e-05,4.00e-06,1.650000e-03,2.87e-05,0.8312
full_water_1.00,water,1.0000,3000.0,2.300000e-05,3.39e-06,1.624500e-03,2.85e-05,0.9200
