E_keV,k_organic_0.49,k_soil_1.20,k_soil_1.60,k_water_1.00
1855.0,1.1719,0.8481,0.6665,0.9389
1865.0,1.0651,0.8044,0.6359,0.8430
1875.0,0.9738,0.7803,0.6217,0.7617
1885.0,0.9015,0.7783,0.6223,0.6995
1895.0,0.8488,0.7982,0.6359,0.6583
1905.0,0.8141,0.8372,0.6599,0.6376
1915.0,0.7948,0.8911,0.6912,0.6355
1925.0,0.7878,0.9535,0.7257,0.6493
1935.0,0.7899,1.0175,0.7590,0.6758
1945.0,0.7983,1.0755,0.7866,0.7118
1955.0,0.8113,1.1215,0.8056,0.7542
1965.0,0.8293,1.1515,0.8157,0.8008
1975.0,0.8540,1.1645,0.8196,0.8496
1985.0,0.8875,1.1616,0.8218,0.8989
1995.0,0.9292,1.1440,0.8257,0.9453
2005.0,0.9739,1.1119,0.8320,0.9848
2015.0,1.0120,1.0659,0.8380,1.0133
2025.0,1.0340,1.0086,0.8398,1.0296
2035.0,1.0348,0.9454,0.8351,1.0366
2045.0,1.0149,0.8835,0.8241,1.0399
2055.0,0.9790,0.8295,0.8088,1.0454
2065.0,0.9334,0.7877,0.7915,1.0579
2075.0,0.8841,0.7606,0.7742,1.0799
2085.0,0.8360,0.7486,0.7580,1.1119
2095.0,0.7933,0.7515,0.7442,1.1528
2105.0,0.7597,0.7689,0.7341,1.2008
2115.0,0.7385,0.8006,0.7294,1.2536
2125.0,0.7327,0.8469,0.7322,1.3091
2135.0,0.7443,0.9084,0.7442,1.3646
2145.0,0.7736,0.9846,0.7662,1.4168
2155.0,0.8188,1.0735,0.7968,1.4603
2165.0,0.8744,1.1693,0.8318,1.4869
2175.0,0.9312,1.2620,0.8641,1.4862
2185.0,0.9777,1.3382,0.8851,1.4479
2195.0,1.0031,1.3850,0.8881,1.3666
2205.0,1.0019,1.3953,0.8716,1.2471
2215.0,0.9756,1.3715,0.8405,1.1041
2225.0,0.9324,1.3245,0.8040,0.9580
2235.0,0.8824,1.2678,0.7713,0.8275
2245.0,0.8341,1.2129,0.7490,0.7254
2255.0,0.7927,1.1663,0.7397,0.6580
2265.0,0.7598,1.1299,0.7430,0.6258
2275.0,0.7346,1.1018,0.7564,0.6259
2285.0,0.7148,1.0780,0.7758,0.6524
2295.0,0.6977,1.0540,0.7970,0.6968
2305.0,0.6809,1.0260,0.8158,0.7487
2315.0,0.6640,0.9929,0.8291,0.7971
2325.0,0.6480,0.9564,0.8362,0.8334
2335.0,0.6361,0.9204,0.8380,0.8534
2345.0,0.6322,0.8900,0.8369,0.8583
2355.0,0.6400,0.8698,0.8352,0.8530
2365.0,0.6629,0.8631,0.8346,0.8440
2375.0,0.7034,0.8721,0.8355,0.8380
2385.0,0.7633,0.8981,0.8373,0.8403
2395.0,0.8431,0.9413,0.8385,0.8553
2405.0,0.9412,1.0004,0.8372,0.8864
2415.0,1.0528,1.0719,0.8315,0.9352
2425.0,1.1688,1.1489,0.8203,1.0016
2435.0,1.2761,1.2217,0.8039,1.0828
2445.0,1.3608,1.2789,0.7847,1.1731
2455.0,1.4122,1.3113,0.7673,1.2641
2465.0,1.4263,1.3146,0.7577,1.3458
2475.0,1.4059,1.2904,0.7638,1.4063
2485.0,1.3582,1.2447,0.7948,1.4305
2495.0,1.2922,1.1865,0.8616,1.3994
2505.0,1.2180,1.1258,0.9722,1.2952
2515.0,1.1470,1.0722,1.1222,1.1161
2525.0,1.0900,1.0316,1.2870,0.8922
2535.0,1.0520,1.0032,1.4328,0.6745
2545.0,1.0306,0.9821,1.5385,0.5022
2555.0,1.0196,0.9636,1.6033,0.3850
2565.0,1.0139,0.9454,1.6374,0.3129
2575.0,1.0103,0.9273,1.6523,0.2714
2585.0,1.0073,0.9095,1.6565,0.2485
2595.0,1.0043,0.8925,1.6552,0.2363
2605.0,1.0013,0.8766,1.6515,0.2301
2615.0,0.9981,0.8618,1.6468,0.2273
2625.0,0.9949,0.8484,1.6422,0.2262
2635.0,0.9916,0.8362,1.6380,0.2262
2645.0,0.9882,0.8252,1.6343,0.2266
2655.0,0.9849,0.8153,1.6313,0.2274
2665.0,0.9816,0.8063,1.6289,0.2283
2675.0,0.9782,0.7982,1.6271,0.2293
2685.0,0.9749,0.7909,1.6259,0.2303
2695.0,0.9717,0.7842,1.6251,0.2314
2705.0,0.9684,0.7782,1.6248,0.2325
2715.0,0.9652,0.7726,1.6249,0.2335
2725.0,0.9620,0.7676,1.6253,0.2346
2735.0,0.9588,0.7629,1.6260,0.2357
2745.0,0.9557,0.7586,1.6270,0.2367
