#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/geometry_response.py
#@ src.git = 2b24cc2-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = ok
#@ src.inputs_n = 168
#@ src.inputs_sha1 = bd17f9bea1e4
#@ obs.quantity = эффективность на испущенный квант; отношения между геометриями и между группами
#@ obs.area = пик полного поглощения в депозит-спектре (наша) против узлов аттестованной кривой .efr (ЛСРМ)
#@ obs.window = +-6.0 кэВ = 12 каналов (счёт в каналах; ширина не зависит от дробной части E)
#@ obs.shelf = односторонняя [E-25; E-10] = 15 каналов; множитель вычитания 12/15
#@ obs.blurred = нет (депозит как есть; на ПШПВ не нормируется)
#@ obs.cone = конусные сетки приведены делением на долю телесного угла из шапки спектра
#@ obs.density_assumption = плотность объёмных проб в аттестации не совпадает с сеткой; дана вилка 0;60 и 1;60 г/см3
#@ obs.sequence = точка 5 см -> Петри 60 мл -> Дента 120 мл -> Маринелли 1 л
# Отклик двух групп кривых на смену геометрии в последовательности точка -> Петри -> Дента -> Маринелли.
# block=группы: наша/ЛСРМ по общим узлам в каждой геометрии.
# block=отклик: отношение кривой к ПРЕДЫДУЩЕЙ геометрии внутри своей группы (форма отклика;
#   всё; что от геометрии не зависит; сокращается).
# block=корреляция: value — наклон нашего отклика по ln E; sigma — наклон отклика ЛСРМ.
# Обе группы — эффективность НА ИСПУЩЕННЫЙ КВАНТ; выход линии не участвует.
# Плотность объёмных проб в аттестации против нашей сетки — ДОПУЩЕНИЕ; отклик дан вилкой 0;60/1;60.
block,case,series,E_keV,value,sigma
отклик,Петри 60 мл / точка 5 см,petri1.60,1764.500,2.67118,0.04495
отклик,Петри 60 мл / точка 5 см,petri1.60,2614.500,2.65837,0.05443
отклик,Петри 60 мл / точка 5 см,petri1.60,3000.000,2.64986,0.05831
отклик,Петри 60 мл / точка 5 см,petri1.60,3304.800,2.66520,0.06102
отклик,Петри 60 мл / точка 5 см,petri1.60,3552.500,2.75215,0.06656
отклик,Дента 120 мл / Петри 60 мл,ЛСРМ,238.632,0.71530,0.03620
отклик,Дента 120 мл / Петри 60 мл,ЛСРМ,241.995,0.69298,0.04232
отклик,Дента 120 мл / Петри 60 мл,ЛСРМ,295.223,0.70166,0.03914
отклик,Дента 120 мл / Петри 60 мл,ЛСРМ,338.320,0.83335,0.04722
отклик,Дента 120 мл / Петри 60 мл,ЛСРМ,351.932,0.70491,0.03455
отклик,Дента 120 мл / Петри 60 мл,ЛСРМ,583.187,0.68774,0.03275
отклик,Дента 120 мл / Петри 60 мл,ЛСРМ,609.320,0.70168,0.03181
отклик,Дента 120 мл / Петри 60 мл,ЛСРМ,661.657,0.68942,0.02513
отклик,Дента 120 мл / Петри 60 мл,ЛСРМ,911.204,0.69897,0.04057
отклик,Дента 120 мл / Петри 60 мл,ЛСРМ,1120.294,0.69568,0.03754
отклик,Дента 120 мл / Петри 60 мл,ЛСРМ,1460.822,0.77123,0.04354
отклик,Дента 120 мл / Петри 60 мл,ЛСРМ,1764.491,0.72977,0.04141
отклик,Дента 120 мл / Петри 60 мл,ЛСРМ,2614.511,0.78994,0.03940
отклик,Дента 120 мл / Петри 60 мл,denta0.60,45.300,1.21184,0.01971
отклик,Дента 120 мл / Петри 60 мл,denta0.60,56.100,1.09277,0.01287
отклик,Дента 120 мл / Петри 60 мл,denta0.60,59.500,1.01972,0.01127
отклик,Дента 120 мл / Петри 60 мл,denta0.60,88.000,0.98397,0.00965
отклик,Дента 120 мл / Петри 60 мл,denta0.60,122.100,0.93238,0.00824
отклик,Дента 120 мл / Петри 60 мл,denta0.60,165.900,0.91155,0.00767
отклик,Дента 120 мл / Петри 60 мл,denta0.60,238.600,0.88915,0.00758
отклик,Дента 120 мл / Петри 60 мл,denta0.60,242.000,0.88486,0.00757
отклик,Дента 120 мл / Петри 60 мл,denta0.60,295.200,0.87242,0.00785
отклик,Дента 120 мл / Петри 60 мл,denta0.60,338.300,0.87523,0.00822
отклик,Дента 120 мл / Петри 60 мл,denta0.60,351.900,0.86668,0.00821
отклик,Дента 120 мл / Петри 60 мл,denta0.60,463.000,0.85528,0.00908
отклик,Дента 120 мл / Петри 60 мл,denta0.60,583.200,0.88169,0.01038
отклик,Дента 120 мл / Петри 60 мл,denta0.60,609.300,0.85080,0.01029
отклик,Дента 120 мл / Петри 60 мл,denta0.60,661.700,0.86157,0.01073
отклик,Дента 120 мл / Петри 60 мл,denta0.60,768.400,0.83130,0.01109
отклик,Дента 120 мл / Петри 60 мл,denta0.60,911.200,0.85639,0.01230
отклик,Дента 120 мл / Петри 60 мл,denta0.60,1120.300,0.85247,0.01347
отклик,Дента 120 мл / Петри 60 мл,denta0.60,1460.800,0.84380,0.01506
отклик,Дента 120 мл / Петри 60 мл,denta0.60,1764.500,0.81418,0.01584
отклик,Дента 120 мл / Петри 60 мл,denta0.60,2614.500,0.85130,0.01993
отклик,Дента 120 мл / Петри 60 мл,denta0.60,3000.000,0.85559,0.02150
отклик,Дента 120 мл / Петри 60 мл,denta0.60,3304.800,0.83302,0.02193
отклик,Дента 120 мл / Петри 60 мл,denta0.60,3552.500,0.82322,0.02281
отклик,Дента 120 мл / Петри 60 мл,denta1.60,45.300,0.44359,0.00964
отклик,Дента 120 мл / Петри 60 мл,denta1.60,56.100,0.48137,0.00719
отклик,Дента 120 мл / Петри 60 мл,denta1.60,59.500,0.48197,0.00663
отклик,Дента 120 мл / Петри 60 мл,denta1.60,88.000,0.61980,0.00702
отклик,Дента 120 мл / Петри 60 мл,denta1.60,122.100,0.68068,0.00670
отклик,Дента 120 мл / Петри 60 мл,denta1.60,165.900,0.71252,0.00653
отклик,Дента 120 мл / Петри 60 мл,denta1.60,238.600,0.73802,0.00668
отклик,Дента 120 мл / Петри 60 мл,denta1.60,242.000,0.72597,0.00664
отклик,Дента 120 мл / Петри 60 мл,denta1.60,295.200,0.73801,0.00700
отклик,Дента 120 мл / Петри 60 мл,denta1.60,338.300,0.73777,0.00731
