#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/export_curves.py
#@ src.git = 1d4e536-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = ok
#@ src.inputs_n = 216
#@ src.inputs_sha1 = bd17f9bea1e4
#@ src.inputs_digest = ead406b59781
#@ obs.quantity = абсолютная эффективность регистрации в ППП — доля испущенных квантов данной энергии; давших отсчёт в пике
#@ obs.area = eps_net — площадь пика за вычетом полки континуума (правило common/py/peakwin); eps_gross — та же площадь без вычета (столбцы намеренно оба)
#@ obs.window = +-6.0 кэВ = 12 каналов (счёт в каналах; ширина не зависит от дробной части E)
#@ obs.shelf = односторонняя [E-25; E-10] = 15 каналов; множитель вычитания 12/15
#@ obs.blurred = нет (депозит как есть; на ПШПВ не нормируется)
#@ obs.in_range = 1 внутри паспортного диапазона 50…3000 кэВ (п. 2.2); 0 вне его — там прибор не аттестован
#@ obs.solid_angle = точечные сетки разыграны в конус; eps приведена к 4pi множителем из grid/<метка>_solidangle.txt
grid,geometry,matrix,density_g_cm3,fill_ml,shield_lid,E_keV,eps_net,d_eps,eps_gross,N_primaries,net_counts,solid_angle_fraction,in_range
p25cm,точечный 25 см,—,,,ОТКРЫТА,3000.0,0.0002949450819,7.030954586480508e-06,0.0002950790565,400000,1761.2,0.0669873,1
p25cm,точечный 25 см,—,,,ОТКРЫТА,3304.8,0.00026597307465,6.677007641451856e-06,0.00026610704925000004,400000,1588.2,0.0669873,0
p25cm,точечный 25 см,—,,,ОТКРЫТА,3552.5,0.00024500604975,6.405523740573087e-06,0.00024500604975,400000,1463.0,0.0669873,0
p5cm,точечный 5 см,—,,,закрыта,45.3,0.034271750000000004,0.0001469382310700656,0.03442375,400000,54834.8,0.25,0
p5cm,точечный 5 см,—,,,закрыта,56.1,0.0397745,0.00015945199120738504,0.0402775,400000,63639.2,0.25,1
p5cm,точечный 5 см,—,,,закрыта,59.5,0.040976875,0.0001622669001213741,0.041616875,400000,65563.0,0.25,1
p5cm,точечный 5 см,—,,,закрыта,88.0,0.043979750000000005,0.00017178011016994954,0.04577625,400000,70367.6,0.25,1
p5cm,точечный 5 см,—,,,закрыта,122.1,0.04323325,0.00017050412385042187,0.04505625,400000,69173.2,0.25,1
p5cm,точечный 5 см,—,,,закрыта,165.9,0.040626999999999996,0.0001640120041338438,0.0419675,400000,65003.2,0.25,1
p5cm,точечный 5 см,—,,,закрыта,238.632,0.035150125,0.00015052725043991204,0.035763125,400000,56240.2,0.25,1
p5cm,точечный 5 см,—,,,закрыта,241.995,0.034422,0.00014914946362625645,0.0350725,400000,55075.2,0.25,1
p5cm,точечный 5 см,—,,,закрыта,295.223,0.030029625,0.00013847252660726604,0.030390625,400000,48047.4,0.25,1
p5cm,точечный 5 см,—,,,закрыта,338.32,0.027112375,0.0001312796990208311,0.027369375,400000,43379.8,0.25,1
p5cm,точечный 5 см,—,,,закрыта,351.932,0.02617475,0.0001289390602183838,0.02641125,400000,41879.6,0.25,1
p5cm,точечный 5 см,—,,,закрыта,463.004,0.020052625,0.00011245422679917371,0.020153125,400000,32084.2,0.25,1
p5cm,точечный 5 см,—,,,закрыта,583.187,0.016010999999999997,0.00010035156949445286,0.0160675,400000,25617.6,0.25,1
p5cm,точечный 5 см,—,,,закрыта,609.32,0.015327374999999999,9.818819621013515e-05,0.015381875,400000,24523.8,0.25,1
p5cm,точечный 5 см,—,,,закрыта,661.657,0.014319875,9.488306948555153e-05,0.014366875,400000,22911.8,0.25,1
p5cm,точечный 5 см,—,,,закрыта,768.36,0.012437875,8.832141232453203e-05,0.012461875,400000,19900.6,0.25,1
p5cm,точечный 5 см,—,,,закрыта,911.204,0.010578625,8.144678093700204e-05,0.010598125,400000,16925.8,0.25,1
p5cm,точечный 5 см,—,,,закрыта,1120.29,0.008647,7.359475185093024e-05,0.0086575,400000,13835.2,0.25,1
p5cm,точечный 5 см,—,,,закрыта,1460.82,0.006744375,6.49897828508451e-05,0.006751875,400000,10791.0,0.25,1
p5cm,точечный 5 см,—,,,закрыта,1764.49,0.005521124999999999,5.8809677137355545e-05,0.005528125,400000,8833.8,0.25,1
p5cm,точечный 5 см,—,,,закрыта,2614.51,0.0037402499999999997,4.836094757136175e-05,0.00374125,400000,5984.4,0.25,1
p5cm,точечный 5 см,—,,,закрыта,3000.0,0.003245625,4.507025765402279e-05,0.003248125,400000,5193.0,0.25,1
p5cm,точечный 5 см,—,,,закрыта,3304.8,0.002985125,4.323283618963716e-05,0.002988125,400000,4776.2,0.25,0
p5cm,точечный 5 см,—,,,закрыта,3552.5,0.00262575,4.055204988653471e-05,0.00262875,400000,4201.2,0.25,0
petri0.60,Петри 60 мл,ОИСН-16,0.6,60.0,закрыта,45.3,0.040388,0.00031988904326344156,0.04069,400000,16155.2,1.0,0
petri0.60,Петри 60 мл,ОИСН-16,0.6,60.0,закрыта,56.1,0.064177,0.0004114589894509537,0.066145,400000,25670.8,1.0,1
petri0.60,Петри 60 мл,ОИСН-16,0.6,60.0,закрыта,59.5,0.06901149999999999,0.00043061090325257674,0.0718775,400000,27604.6,1.0,1
petri0.60,Петри 60 мл,ОИСН-16,0.6,60.0,закрыта,88.0,0.086738,0.0005225074162153108,0.09922,400000,34695.2,1.0,1
petri0.60,Петри 60 мл,ОИСН-16,0.6,60.0,закрыта,122.1,0.09574700000000001,0.0005326617125343251,0.105605,400000,38298.8,1.0,1
petri0.60,Петри 60 мл,ОИСН-16,0.6,60.0,закрыта,165.9,0.09637,0.000518960499460219,0.10268,400000,38548.0,1.0,1
petri0.60,Петри 60 мл,ОИСН-16,0.6,60.0,закрыта,238.632,0.086728,0.00048062875486179556,0.08988,400000,34691.2,1.0,1
petri0.60,Петри 60 мл,ОИСН-16,0.6,60.0,закрыта,241.995,0.08608700000000001,0.0004781877246437847,0.089075,400000,34434.8,1.0,1
petri0.60,Петри 60 мл,ОИСН-16,0.6,60.0,закрыта,295.223,0.07577350000000001,0.0004453276883374758,0.0777475,400000,30309.4,1.0,1
petri0.60,Петри 60 мл,ОИСН-16,0.6,60.0,закрыта,338.32,0.068596,0.00042135258394840775,0.06994,400000,27438.4,1.0,1
petri0.60,Петри 60 мл,ОИСН-16,0.6,60.0,закрыта,351.932,0.066541,0.00041423483677740093,0.067705,400000,26616.4,1.0,1
petri0.60,Петри 60 мл,ОИСН-16,0.6,60.0,закрыта,463.004,0.0518175,0.0003634676739408884,0.0523875,400000,20727.0,1.0,1
