metric,value
n_events,5000000
n_hits_in_crystal,4221
n_hits_direct,1951
n_hits_pb_scat,1578
n_hits_pb_born,692
flux_total_cm2_s,0
surface_cm2,0
rate_per_s,0.0086625
t_run_s,577200577.2
cps_total,7.3128825e-06
shield,1
shield_pb_mm,50
shield_cavity_mm,150x150x385
stand_mm,25
device_z_mm,-133.75
screen_up,1

bin_keV,counts,cps,counts_direct,counts_pb_scat,counts_pb_born
273,7,1.21275e-08,5,1,1
274,1,1.7325e-09,1,0,0
275,5,8.6625e-09,1,4,0
276,3,5.1975e-09,1,0,2
277,1,1.7325e-09,0,1,0
278,4,6.93e-09,0,3,1
279,1,1.7325e-09,0,1,0
280,7,1.21275e-08,6,1,0
281,2,3.465e-09,2,0,0
282,3,5.1975e-09,1,2,0
283,0,0,0,0,0
284,3,5.1975e-09,1,2,0
285,2,3.465e-09,2,0,0
286,4,6.93e-09,2,2,0
287,5,8.6625e-09,1,4,0
288,4,6.93e-09,1,2,1
289,6,1.0395e-08,1,5,0
290,5,8.6625e-09,1,3,1
291,3,5.1975e-09,1,1,1
292,7,1.21275e-08,2,5,0
293,7,1.21275e-08,4,3,0
294,3,5.1975e-09,0,3,0
295,4,6.93e-09,1,2,1
296,9,1.55925e-08,4,5,0
297,2,3.465e-09,0,2,0
298,4,6.93e-09,1,2,1
299,4,6.93e-09,0,4,0
300,5,8.6625e-09,1,3,1
301,2,3.465e-09,1,1,0
302,4,6.93e-09,1,3,0
303,7,1.21275e-08,2,5,0
304,5,8.6625e-09,2,3,0
305,7,1.21275e-08,3,3,1
306,8,1.386e-08,3,4,1
307,3,5.1975e-09,2,1,0
308,6,1.0395e-08,3,3,0
309,2,3.465e-09,2,0,0
310,3,5.1975e-09,1,2,0
311,1,1.7325e-09,0,1,0
312,3,5.1975e-09,1,2,0
313,4,6.93e-09,1,3,0
314,2,3.465e-09,1,1,0
315,4,6.93e-09,1,2,1
316,4,6.93e-09,2,2,0
317,5,8.6625e-09,1,4,0
318,3,5.1975e-09,2,1,0
319,5,8.6625e-09,1,4,0
320,1,1.7325e-09,0,1,0
321,4,6.93e-09,1,2,1
322,3,5.1975e-09,1,2,0
323,1,1.7325e-09,0,1,0
324,1,1.7325e-09,1,0,0
325,3,5.1975e-09,1,2,0
326,6,1.0395e-08,2,4,0
327,4,6.93e-09,3,1,0
328,4,6.93e-09,2,2,0
329,4,6.93e-09,1,3,0
330,4,6.93e-09,2,1,1
331,3,5.1975e-09,1,2,0
332,1,1.7325e-09,1,0,0
333,6,1.0395e-08,2,4,0
334,2,3.465e-09,1,1,0
335,3,5.1975e-09,1,2,0
336,3,5.1975e-09,1,2,0
337,2,3.465e-09,1,1,0
338,1,1.7325e-09,0,1,0
339,4,6.93e-09,2,2,0
340,1,1.7325e-09,0,1,0
341,7,1.21275e-08,4,3,0
342,3,5.1975e-09,1,2,0
343,5,8.6625e-09,1,4,0
344,6,1.0395e-08,3,3,0
345,3,5.1975e-09,2,1,0
346,8,1.386e-08,4,4,0
347,6,1.0395e-08,4,2,0
348,0,0,0,0,0
349,5,8.6625e-09,1,4,0
350,7,1.21275e-08,5,2,0
351,2,3.465e-09,2,0,0
352,3,5.1975e-09,0,2,1
353,5,8.6625e-09,2,3,0
354,1,1.7325e-09,1,0,0
355,5,8.6625e-09,3,2,0
356,2,3.465e-09,0,2,0
357,2,3.465e-09,0,2,0
358,2,3.465e-09,2,0,0
359,2,3.465e-09,1,0,1
360,8,1.386e-08,5,3,0
361,7,1.21275e-08,4,3,0
362,8,1.386e-08,3,5,0
363,2,3.465e-09,2,0,0
364,0,0,0,0,0
365,3,5.1975e-09,2,0,1
366,6,1.0395e-08,4,1,1
367,5,8.6625e-09,1,4,0
