config,matrix,rho_gcm3,E_keV,eps_p,d_eps_p,eps_t,d_eps_t,f_abs
full_soil_1.20,soil,1.2000,2614.5,5.900000e-05,5.43e-06,2.537000e-03,3.56e-05,1.0261
full_soil_1.20,soil,1.2000,3000.0,3.600000e-05,4.24e-06,2.530000e-03,3.56e-05,0.8471
full_soil_1.60,soil,1.6000,30.0,2.823000e-03,3.76e-05,2.845500e-03,3.77e-05,0.2320
full_soil_1.60,soil,1.6000,46.5,6.129000e-03,5.54e-05,7.153500e-03,5.98e-05,0.5766
full_soil_1.60,soil,1.6000,59.5,7.896500e-03,6.28e-05,1.253800e-02,7.92e-05,0.6893
full_soil_1.60,soil,1.6000,80.0,8.941000e-03,6.69e-05,1.560500e-02,8.83e-05,0.7529
full_soil_1.60,soil,1.6000,92.6,9.156000e-03,6.77e-05,1.637900e-02,9.05e-05,0.7802
full_soil_1.60,soil,1.6000,122.0,8.682000e-03,6.59e-05,1.626050e-02,9.02e-05,0.7946
full_soil_1.60,soil,1.6000,186.0,6.267500e-03,5.60e-05,1.329400e-02,8.15e-05,0.8072
full_soil_1.60,soil,1.6000,238.6,4.298500e-03,4.64e-05,1.071200e-02,7.32e-05,0.8373
full_soil_1.60,soil,1.6000,295.2,2.944000e-03,3.84e-05,8.759500e-03,6.62e-05,0.8365
full_soil_1.60,soil,1.6000,351.9,2.161000e-03,3.29e-05,7.623000e-03,6.17e-05,0.8521
full_soil_1.60,soil,1.6000,477.0,1.131500e-03,2.38e-05,5.837000e-03,5.40e-05,0.8214
full_soil_1.60,soil,1.6000,583.2,7.740000e-04,1.97e-05,5.054000e-03,5.03e-05,0.8886
full_soil_1.60,soil,1.6000,609.3,7.130000e-04,1.89e-05,4.990000e-03,4.99e-05,0.8622
full_soil_1.60,soil,1.6000,661.7,6.560000e-04,1.81e-05,4.717500e-03,4.86e-05,0.9061
full_soil_1.60,soil,1.6000,795.0,4.110000e-04,1.43e-05,4.195500e-03,4.58e-05,0.7874
full_soil_1.60,soil,1.6000,911.2,3.630000e-04,1.35e-05,3.892000e-03,4.41e-05,0.9284
full_soil_1.60,soil,1.6000,968.9,3.260000e-04,1.28e-05,3.735000e-03,4.32e-05,1.0077
full_soil_1.60,soil,1.6000,1120.3,2.610000e-04,1.14e-05,3.515000e-03,4.19e-05,0.9721
full_soil_1.60,soil,1.6000,1173.2,2.160000e-04,1.04e-05,3.382500e-03,4.11e-05,0.8871
full_soil_1.60,soil,1.6000,1332.5,1.835000e-04,9.58e-06,3.254000e-03,4.03e-05,0.9244
full_soil_1.60,soil,1.6000,1460.8,1.515000e-04,8.70e-06,3.114500e-03,3.95e-05,0.8324
full_soil_1.60,soil,1.6000,1764.5,1.070000e-04,7.31e-06,2.905000e-03,3.81e-05,0.8492
full_soil_1.60,soil,1.6000,2204.0,6.400000e-05,5.66e-06,2.716500e-03,3.69e-05,0.7805
full_soil_1.60,soil,1.6000,2614.5,6.400000e-05,5.66e-06,2.731500e-03,3.70e-05,1.1130
full_soil_1.60,soil,1.6000,3000.0,3.700000e-05,4.30e-06,2.734000e-03,3.70e-05,0.8706
full_water_1.00,water,1.0000,30.0,1.072950e-02,7.32e-05,1.123850e-02,7.50e-05,0.8816
