E_keV,measured,baseline,apparent
669.19,9.554920e-04,4.042800e-04,5.052178e-04
671.81,9.946917e-04,4.011598e-04,5.046725e-04
674.42,9.881584e-04,3.982210e-04,5.038459e-04
677.04,9.407922e-04,3.956299e-04,5.027370e-04
679.66,9.848918e-04,3.933073e-04,5.013143e-04
682.27,9.032258e-04,3.911103e-04,4.994249e-04
684.89,8.999592e-04,3.892314e-04,4.972339e-04
687.51,8.721927e-04,3.874894e-04,4.945649e-04
690.13,9.048591e-04,3.859258e-04,4.914440e-04
692.75,9.277256e-04,3.845712e-04,4.880042e-04
695.37,9.048591e-04,3.833080e-04,4.839667e-04
697.99,9.522254e-04,3.822373e-04,4.796790e-04
700.62,8.623928e-04,3.812904e-04,4.750283e-04
703.24,8.280931e-04,3.804286e-04,4.698618e-04
705.86,8.819927e-04,3.797072e-04,4.646311e-04
708.49,7.986933e-04,3.790455e-04,4.589878e-04
711.11,8.411597e-04,3.784548e-04,4.531467e-04
713.74,8.460596e-04,3.779280e-04,4.472976e-04
716.37,8.509596e-04,3.774021e-04,4.410427e-04
718.99,8.476929e-04,3.769092e-04,4.349574e-04
721.62,8.509596e-04,3.764057e-04,4.288345e-04
724.25,8.150265e-04,3.758512e-04,4.225114e-04
726.88,8.346264e-04,3.752782e-04,4.165256e-04
729.51,7.872601e-04,3.746243e-04,4.104779e-04
732.14,8.770927e-04,3.738872e-04,4.045584e-04
734.77,8.411597e-04,3.730829e-04,3.989677e-04
737.40,7.888934e-04,3.721339e-04,3.933413e-04
740.03,8.444263e-04,3.710993e-04,3.881042e-04
742.66,7.758269e-04,3.699599e-04,3.831498e-04
745.30,8.362597e-04,3.686304e-04,3.782253e-04
747.93,8.378930e-04,3.672442e-04,3.738144e-04
750.57,7.153940e-04,3.657107e-04,3.695962e-04
753.20,7.611270e-04,3.640196e-04,3.655856e-04
755.84,8.248265e-04,3.622772e-04,3.619897e-04
758.47,8.084933e-04,3.603706e-04,3.585517e-04
761.11,7.349939e-04,3.583779e-04,3.554057e-04
763.75,8.411597e-04,3.563480e-04,3.525686e-04
766.39,7.790935e-04,3.541517e-04,3.498432e-04
769.03,7.709269e-04,3.519678e-04,3.474212e-04
771.67,7.333606e-04,3.497603e-04,3.452039e-04
774.31,7.660269e-04,3.474123e-04,3.430580e-04
776.95,6.925276e-04,3.451703e-04,3.411741e-04
779.59,7.349939e-04,3.429024e-04,3.393963e-04
782.23,6.794610e-04,3.405946e-04,3.376940e-04
784.88,6.827276e-04,3.384115e-04,3.361602e-04
787.52,7.725602e-04,3.362237e-04,3.346761e-04
790.16,7.006942e-04,3.340862e-04,3.332619e-04
792.81,6.680278e-04,3.320796e-04,3.319530e-04
795.45,6.680278e-04,3.300853e-04,3.306565e-04
798.10,6.386280e-04,3.282058e-04,3.294296e-04
800.75,7.006942e-04,3.264493e-04,3.282713e-04
803.39,6.957942e-04,3.247120e-04,3.271062e-04
806.04,6.484279e-04,3.231205e-04,3.260191e-04
808.69,7.186607e-04,3.216302e-04,3.249822e-04
811.34,6.288281e-04,3.201514e-04,3.239328e-04
813.99,6.500612e-04,3.188181e-04,3.229733e-04
816.64,6.353614e-04,3.175467e-04,3.220497e-04
819.29,6.435280e-04,3.162816e-04,3.211275e-04
821.95,6.484279e-04,3.151225e-04,3.202887e-04
824.60,6.239281e-04,3.139848e-04,3.194771e-04
827.25,6.663944e-04,3.128388e-04,3.186788e-04
829.90,5.830951e-04,3.117519e-04,3.179466e-04
832.56,6.467946e-04,3.106485e-04,3.172301e-04
835.21,6.190282e-04,3.095184e-04,3.165258e-04
837.87,6.565945e-04,3.084133e-04,3.158653e-04
840.53,6.402613e-04,3.072642e-04,3.152015e-04
843.18,7.055941e-04,3.060825e-04,3.145376e-04
845.84,6.369947e-04,3.049135e-04,3.138921e-04
848.50,6.761944e-04,3.036939e-04,3.132192e-04
851.16,5.994283e-04,3.024593e-04,3.125285e-04
853.82,6.794610e-04,3.012502e-04,3.118323e-04
856.48,5.961617e-04,3.000105e-04,3.110837e-04
859.14,6.222948e-04,2.987963e-04,3.103016e-04
861.80,6.288281e-04,2.976397e-04,3.094957e-04
864.46,6.173949e-04,2.964939e-04,3.086162e-04
867.13,5.781952e-04,2.954229e-04,3.076936e-04
869.79,6.565945e-04,2.944459e-04,3.067367e-04
872.46,6.043283e-04,2.935246e-04,3.056911e-04
875.12,6.304614e-04,2.927136e-04,3.045996e-04
877.79,6.712944e-04,2.920157e-04,3.034708e-04
880.45,5.863618e-04,2.913980e-04,3.022444e-04
883.12,5.945284e-04,2.908910e-04,3.009745e-04
885.79,6.043283e-04,2.904819e-04,2.996699e-04
888.45,5.879951e-04,2.901381e-04,2.982651e-04
891.12,5.700286e-04,2.898627e-04,2.968218e-04
893.79,5.389955e-04,2.896328e-04,2.953516e-04
896.46,6.288281e-04,2.894123e-04,2.937850e-04
899.13,5.912617e-04,2.891871e-04,2.921868e-04
901.80,5.912617e-04,2.889343e-04,2.905755e-04
904.48,6.043283e-04,2.886138e-04,2.888796e-04
907.15,6.075949e-04,2.882113e-04,2.871609e-04
909.82,5.847285e-04,2.877174e-04,2.854499e-04
912.50,5.847285e-04,2.870899e-04,2.836755e-04
915.17,5.994283e-04,2.863272e-04,2.818894e-04
917.84,5.634953e-04,2.854465e-04,2.801384e-04
