metric,value
n_events,100000000
n_hits_in_crystal,70709
n_overflow,39241
r_disk_mm,300
z_disk_mm,100
disk_area_cm2,2827.433388
pdg_expected_per_s,47.21813758
e_lo_gev,0.3
e_hi_gev,100
max_edep_keV,24665.7644

bin_keV,counts,per_muon
309,11,1.1e-07
310,12,1.2e-07
311,12,1.2e-07
312,16,1.6e-07
313,18,1.8e-07
314,7,7e-08
315,7,7e-08
316,16,1.6e-07
317,23,2.3e-07
318,10,1e-07
319,10,1e-07
320,14,1.4e-07
321,14,1.4e-07
322,14,1.4e-07
323,9,9e-08
324,16,1.6e-07
325,10,1e-07
326,12,1.2e-07
327,16,1.6e-07
328,9,9e-08
329,9,9e-08
330,8,8e-08
331,14,1.4e-07
332,14,1.4e-07
333,10,1e-07
334,14,1.4e-07
335,9,9e-08
336,12,1.2e-07
337,14,1.4e-07
338,8,8e-08
339,18,1.8e-07
340,13,1.3e-07
341,14,1.4e-07
342,9,9e-08
343,19,1.9e-07
344,13,1.3e-07
345,14,1.4e-07
346,17,1.7e-07
347,13,1.3e-07
348,7,7e-08
349,12,1.2e-07
350,10,1e-07
351,14,1.4e-07
352,12,1.2e-07
353,21,2.1e-07
354,14,1.4e-07
355,11,1.1e-07
356,10,1e-07
357,18,1.8e-07
358,12,1.2e-07
359,14,1.4e-07
360,18,1.8e-07
361,9,9e-08
362,12,1.2e-07
363,17,1.7e-07
364,18,1.8e-07
365,16,1.6e-07
366,13,1.3e-07
367,15,1.5e-07
368,13,1.3e-07
369,24,2.4e-07
370,16,1.6e-07
371,15,1.5e-07
372,16,1.6e-07
373,14,1.4e-07
374,18,1.8e-07
375,10,1e-07
376,6,6e-08
377,11,1.1e-07
378,9,9e-08
379,8,8e-08
380,15,1.5e-07
381,14,1.4e-07
382,10,1e-07
383,10,1e-07
384,11,1.1e-07
385,3,3e-08
386,9,9e-08
387,11,1.1e-07
388,11,1.1e-07
389,19,1.9e-07
390,16,1.6e-07
391,16,1.6e-07
392,12,1.2e-07
393,14,1.4e-07
394,14,1.4e-07
395,7,7e-08
396,16,1.6e-07
397,12,1.2e-07
398,14,1.4e-07
399,10,1e-07
400,6,6e-08
401,21,2.1e-07
402,14,1.4e-07
403,18,1.8e-07
404,15,1.5e-07
405,21,2.1e-07
406,11,1.1e-07
407,7,7e-08
408,14,1.4e-07
409,14,1.4e-07
410,12,1.2e-07
411,17,1.7e-07
412,8,8e-08
413,13,1.3e-07
414,9,9e-08
415,12,1.2e-07
416,19,1.9e-07
417,14,1.4e-07
418,8,8e-08
419,11,1.1e-07
420,13,1.3e-07
421,10,1e-07
422,14,1.4e-07
423,10,1e-07
424,13,1.3e-07
425,8,8e-08
426,7,7e-08
427,16,1.6e-07
428,11,1.1e-07
429,12,1.2e-07
430,13,1.3e-07
431,15,1.5e-07
432,15,1.5e-07
433,4,4e-08
434,7,7e-08
435,12,1.2e-07
436,18,1.8e-07
437,8,8e-08
438,13,1.3e-07
439,13,1.3e-07
440,14,1.4e-07
441,9,9e-08
442,10,1e-07
443,11,1.1e-07
444,10,1e-07
445,13,1.3e-07
446,6,6e-08
447,11,1.1e-07
448,9,9e-08
449,12,1.2e-07
450,7,7e-08
451,14,1.4e-07
452,10,1e-07
453,13,1.3e-07
454,8,8e-08
455,19,1.9e-07
456,15,1.5e-07
457,14,1.4e-07
458,7,7e-08
459,17,1.7e-07
460,10,1e-07
461,8,8e-08
462,14,1.4e-07
463,17,1.7e-07
464,8,8e-08
465,10,1e-07
466,7,7e-08
467,18,1.8e-07
468,9,9e-08
469,13,1.3e-07
470,7,7e-08
471,10,1e-07
472,20,2e-07
473,13,1.3e-07
474,6,6e-08
475,14,1.4e-07
476,19,1.9e-07
477,7,7e-08
478,12,1.2e-07
479,14,1.4e-07
480,10,1e-07
481,10,1e-07
482,16,1.6e-07
483,5,5e-08
484,15,1.5e-07
485,13,1.3e-07
486,14,1.4e-07
487,16,1.6e-07
488,18,1.8e-07
489,11,1.1e-07
490,16,1.6e-07
491,9,9e-08
492,9,9e-08
493,18,1.8e-07
494,8,8e-08
495,13,1.3e-07
496,16,1.6e-07
497,7,7e-08
498,19,1.9e-07
499,10,1e-07
500,6,6e-08
501,15,1.5e-07
502,8,8e-08
503,12,1.2e-07
504,7,7e-08
505,16,1.6e-07
506,6,6e-08
507,11,1.1e-07
508,6,6e-08
509,11,1.1e-07
510,11,1.1e-07
511,7,7e-08
512,13,1.3e-07
513,14,1.4e-07
514,12,1.2e-07
515,11,1.1e-07
516,9,9e-08
517,10,1e-07
518,17,1.7e-07
519,13,1.3e-07
520,12,1.2e-07
521,10,1e-07
522,15,1.5e-07
523,6,6e-08
524,12,1.2e-07
525,17,1.7e-07
526,15,1.5e-07
527,15,1.5e-07
528,10,1e-07
529,12,1.2e-07
530,8,8e-08
531,10,1e-07
532,12,1.2e-07
533,10,1e-07
534,21,2.1e-07
535,11,1.1e-07
536,10,1e-07
537,10,1e-07
538,16,1.6e-07
539,14,1.4e-07
540,11,1.1e-07
541,9,9e-08
542,10,1e-07
543,13,1.3e-07
544,15,1.5e-07
545,12,1.2e-07
546,9,9e-08
547,8,8e-08
548,15,1.5e-07
549,14,1.4e-07
550,11,1.1e-07
551,17,1.7e-07
552,12,1.2e-07
553,13,1.3e-07
554,12,1.2e-07
555,15,1.5e-07
556,10,1e-07
557,12,1.2e-07
558,14,1.4e-07
559,7,7e-08
560,12,1.2e-07
561,17,1.7e-07
562,16,1.6e-07
563,15,1.5e-07
564,7,7e-08
565,15,1.5e-07
566,14,1.4e-07
567,8,8e-08
568,9,9e-08
569,18,1.8e-07
570,10,1e-07
571,11,1.1e-07
572,8,8e-08
573,14,1.4e-07
574,13,1.3e-07
575,11,1.1e-07
576,9,9e-08
577,14,1.4e-07
578,17,1.7e-07
579,7,7e-08
580,16,1.6e-07
581,8,8e-08
582,8,8e-08
583,11,1.1e-07
584,11,1.1e-07
585,14,1.4e-07
586,11,1.1e-07
587,6,6e-08
588,11,1.1e-07
589,9,9e-08
590,17,1.7e-07
591,7,7e-08
592,15,1.5e-07
593,7,7e-08
594,9,9e-08
595,16,1.6e-07
596,14,1.4e-07
597,16,1.6e-07
598,11,1.1e-07
599,13,1.3e-07
600,7,7e-08
601,12,1.2e-07
602,8,8e-08
603,10,1e-07
604,14,1.4e-07
605,10,1e-07
