metric,value
n_events,100000000
n_hits_in_crystal,19438
n_overflow,9494
r_disk_mm,600
z_disk_mm,300
disk_area_cm2,11309.73355
pdg_expected_per_s,188.8725503
e_lo_gev,0.3
e_hi_gev,100
max_edep_keV,20499.93468

bin_keV,counts,per_muon
399,2,2e-08
400,4,4e-08
401,4,4e-08
402,1,1e-08
403,9,9e-08
404,4,4e-08
405,5,5e-08
406,5,5e-08
407,2,2e-08
408,3,3e-08
409,5,5e-08
410,6,6e-08
411,5,5e-08
412,6,6e-08
413,2,2e-08
414,2,2e-08
415,5,5e-08
416,5,5e-08
417,3,3e-08
418,7,7e-08
419,8,8e-08
420,2,2e-08
421,5,5e-08
422,4,4e-08
423,6,6e-08
424,3,3e-08
425,5,5e-08
426,5,5e-08
427,3,3e-08
428,3,3e-08
429,4,4e-08
430,3,3e-08
431,4,4e-08
432,3,3e-08
433,4,4e-08
434,6,6e-08
435,4,4e-08
436,8,8e-08
437,3,3e-08
438,5,5e-08
439,5,5e-08
440,4,4e-08
441,3,3e-08
442,3,3e-08
443,7,7e-08
444,3,3e-08
445,4,4e-08
446,9,9e-08
447,4,4e-08
448,4,4e-08
449,3,3e-08
450,2,2e-08
451,6,6e-08
452,3,3e-08
453,4,4e-08
454,5,5e-08
455,7,7e-08
456,6,6e-08
457,2,2e-08
458,5,5e-08
459,6,6e-08
460,1,1e-08
461,5,5e-08
462,8,8e-08
463,3,3e-08
464,1,1e-08
465,3,3e-08
466,3,3e-08
467,3,3e-08
468,6,6e-08
469,4,4e-08
470,3,3e-08
471,6,6e-08
472,1,1e-08
473,6,6e-08
474,5,5e-08
475,1,1e-08
476,4,4e-08
477,3,3e-08
478,3,3e-08
479,5,5e-08
480,7,7e-08
481,1,1e-08
482,4,4e-08
483,6,6e-08
484,4,4e-08
485,7,7e-08
486,3,3e-08
487,2,2e-08
488,7,7e-08
489,4,4e-08
490,5,5e-08
491,9,9e-08
492,1,1e-08
493,6,6e-08
494,3,3e-08
495,2,2e-08
496,7,7e-08
497,5,5e-08
498,1,1e-08
499,7,7e-08
500,1,1e-08
501,5,5e-08
502,4,4e-08
503,7,7e-08
504,4,4e-08
505,2,2e-08
506,4,4e-08
507,3,3e-08
508,6,6e-08
509,2,2e-08
510,28,2.8e-07
511,5,5e-08
512,0,0
513,3,3e-08
514,6,6e-08
515,7,7e-08
516,1,1e-08
517,6,6e-08
518,6,6e-08
519,2,2e-08
520,7,7e-08
521,4,4e-08
522,7,7e-08
523,3,3e-08
524,3,3e-08
525,7,7e-08
526,6,6e-08
527,3,3e-08
528,3,3e-08
529,6,6e-08
530,3,3e-08
531,5,5e-08
532,5,5e-08
533,3,3e-08
534,4,4e-08
535,2,2e-08
536,5,5e-08
537,2,2e-08
538,3,3e-08
539,6,6e-08
540,3,3e-08
541,0,0
542,4,4e-08
543,7,7e-08
544,3,3e-08
545,4,4e-08
546,2,2e-08
547,4,4e-08
548,3,3e-08
549,2,2e-08
550,6,6e-08
551,6,6e-08
552,8,8e-08
553,4,4e-08
554,5,5e-08
555,2,2e-08
556,5,5e-08
557,4,4e-08
558,3,3e-08
559,2,2e-08
560,2,2e-08
561,5,5e-08
562,2,2e-08
563,3,3e-08
564,3,3e-08
565,2,2e-08
566,4,4e-08
567,7,7e-08
568,5,5e-08
569,3,3e-08
570,2,2e-08
571,6,6e-08
572,2,2e-08
573,5,5e-08
574,6,6e-08
575,1,1e-08
576,7,7e-08
577,3,3e-08
578,4,4e-08
579,2,2e-08
580,3,3e-08
581,4,4e-08
582,5,5e-08
583,1,1e-08
584,7,7e-08
585,4,4e-08
586,1,1e-08
587,2,2e-08
588,1,1e-08
589,4,4e-08
590,3,3e-08
591,5,5e-08
592,5,5e-08
593,5,5e-08
594,3,3e-08
595,4,4e-08
596,3,3e-08
597,6,6e-08
598,2,2e-08
599,2,2e-08
600,7,7e-08
601,6,6e-08
602,3,3e-08
603,3,3e-08
604,3,3e-08
605,4,4e-08
606,5,5e-08
607,2,2e-08
608,5,5e-08
609,4,4e-08
610,7,7e-08
611,1,1e-08
612,3,3e-08
613,6,6e-08
614,5,5e-08
615,3,3e-08
616,6,6e-08
617,2,2e-08
618,6,6e-08
619,6,6e-08
620,2,2e-08
621,3,3e-08
622,1,1e-08
623,5,5e-08
624,9,9e-08
625,5,5e-08
626,3,3e-08
627,5,5e-08
628,4,4e-08
629,4,4e-08
630,5,5e-08
631,2,2e-08
632,3,3e-08
633,2,2e-08
634,2,2e-08
635,5,5e-08
636,1,1e-08
637,2,2e-08
638,2,2e-08
639,4,4e-08
640,3,3e-08
641,5,5e-08
642,3,3e-08
643,6,6e-08
644,3,3e-08
645,3,3e-08
646,3,3e-08
647,3,3e-08
648,2,2e-08
649,3,3e-08
650,2,2e-08
651,4,4e-08
652,3,3e-08
653,2,2e-08
654,3,3e-08
655,3,3e-08
656,1,1e-08
657,2,2e-08
658,5,5e-08
659,5,5e-08
660,4,4e-08
661,5,5e-08
662,7,7e-08
663,9,9e-08
664,8,8e-08
665,4,4e-08
666,6,6e-08
667,1,1e-08
668,5,5e-08
669,9,9e-08
670,3,3e-08
671,1,1e-08
672,4,4e-08
673,5,5e-08
674,3,3e-08
675,6,6e-08
676,4,4e-08
677,7,7e-08
678,3,3e-08
679,4,4e-08
680,2,2e-08
681,2,2e-08
682,4,4e-08
683,5,5e-08
684,7,7e-08
685,3,3e-08
686,3,3e-08
687,4,4e-08
688,3,3e-08
689,3,3e-08
690,6,6e-08
691,3,3e-08
692,5,5e-08
693,3,3e-08
694,5,5e-08
695,2,2e-08
696,2,2e-08
697,1,1e-08
698,4,4e-08
699,3,3e-08
700,5,5e-08
701,5,5e-08
702,2,2e-08
703,6,6e-08
704,3,3e-08
705,0,0
706,7,7e-08
707,3,3e-08
708,2,2e-08
709,4,4e-08
710,4,4e-08
711,4,4e-08
712,5,5e-08
713,3,3e-08
714,2,2e-08
715,3,3e-08
716,3,3e-08
717,3,3e-08
718,4,4e-08
719,7,7e-08
720,2,2e-08
721,2,2e-08
722,0,0
723,1,1e-08
724,2,2e-08
725,7,7e-08
726,1,1e-08
727,4,4e-08
728,1,1e-08
729,1,1e-08
730,2,2e-08
731,2,2e-08
732,1,1e-08
733,4,4e-08
734,4,4e-08
735,0,0
736,2,2e-08
737,5,5e-08
738,2,2e-08
739,2,2e-08
740,2,2e-08
741,5,5e-08
742,3,3e-08
743,3,3e-08
744,5,5e-08
745,3,3e-08
746,1,1e-08
747,3,3e-08
748,5,5e-08
749,5,5e-08
750,4,4e-08
751,3,3e-08
752,5,5e-08
753,4,4e-08
754,8,8e-08
755,3,3e-08
756,4,4e-08
757,4,4e-08
758,3,3e-08
759,5,5e-08
760,3,3e-08
761,2,2e-08
762,4,4e-08
763,6,6e-08
764,3,3e-08
765,5,5e-08
766,2,2e-08
767,5,5e-08
768,2,2e-08
769,5,5e-08
770,6,6e-08
771,4,4e-08
772,2,2e-08
773,2,2e-08
774,1,1e-08
775,2,2e-08
776,2,2e-08
777,3,3e-08
778,4,4e-08
779,2,2e-08
780,1,1e-08
781,5,5e-08
782,4,4e-08
783,3,3e-08
784,2,2e-08
785,4,4e-08
786,1,1e-08
787,3,3e-08
788,4,4e-08
789,3,3e-08
790,2,2e-08
791,3,3e-08
792,2,2e-08
793,2,2e-08
794,3,3e-08
795,0,0
796,2,2e-08
797,2,2e-08
798,1,1e-08
799,3,3e-08
800,2,2e-08
801,2,2e-08
802,5,5e-08
803,2,2e-08
804,6,6e-08
805,6,6e-08
806,3,3e-08
807,2,2e-08
808,7,7e-08
809,0,0
810,6,6e-08
811,2,2e-08
812,4,4e-08
813,0,0
814,3,3e-08
815,3,3e-08
816,4,4e-08
817,4,4e-08
818,6,6e-08
819,3,3e-08
820,4,4e-08
821,6,6e-08
822,1,1e-08
823,6,6e-08
824,7,7e-08
825,1,1e-08
826,4,4e-08
827,2,2e-08
828,4,4e-08
829,1,1e-08
830,5,5e-08
831,3,3e-08
832,3,3e-08
833,6,6e-08
834,2,2e-08
835,3,3e-08
836,2,2e-08
837,1,1e-08
838,0,0
839,3,3e-08
840,3,3e-08
841,2,2e-08
842,2,2e-08
843,0,0
844,2,2e-08
845,2,2e-08
846,3,3e-08
847,6,6e-08
848,3,3e-08
849,9,9e-08
850,3,3e-08
851,4,4e-08
852,3,3e-08
853,3,3e-08
854,3,3e-08
855,2,2e-08
856,4,4e-08
857,2,2e-08
858,4,4e-08
859,5,5e-08
860,3,3e-08
861,3,3e-08
862,2,2e-08
863,2,2e-08
864,1,1e-08
865,0,0
866,3,3e-08
867,4,4e-08
868,2,2e-08
869,2,2e-08
870,1,1e-08
871,1,1e-08
872,2,2e-08
873,5,5e-08
874,4,4e-08
875,4,4e-08
876,8,8e-08
877,5,5e-08
878,3,3e-08
879,5,5e-08
880,4,4e-08
881,3,3e-08
882,2,2e-08
883,5,5e-08
884,6,6e-08
885,0,0
886,3,3e-08
887,3,3e-08
888,2,2e-08
889,0,0
890,4,4e-08
891,4,4e-08
892,2,2e-08
893,7,7e-08
894,2,2e-08
895,3,3e-08
896,4,4e-08
897,5,5e-08
898,4,4e-08
899,3,3e-08
900,4,4e-08
901,1,1e-08
902,2,2e-08
903,3,3e-08
904,3,3e-08
905,3,3e-08
906,3,3e-08
907,4,4e-08
908,3,3e-08
909,1,1e-08
910,2,2e-08
911,5,5e-08
912,3,3e-08
913,6,6e-08
914,2,2e-08
915,4,4e-08
916,3,3e-08
917,0,0
918,6,6e-08
919,2,2e-08
920,5,5e-08
921,3,3e-08
922,1,1e-08
923,4,4e-08
924,2,2e-08
925,1,1e-08
926,5,5e-08
927,1,1e-08
928,5,5e-08
929,1,1e-08
930,2,2e-08
931,0,0
932,2,2e-08
933,3,3e-08
934,4,4e-08
935,1,1e-08
936,4,4e-08
937,1,1e-08
938,1,1e-08
939,1,1e-08
940,3,3e-08
941,3,3e-08
942,4,4e-08
943,1,1e-08
944,4,4e-08
945,6,6e-08
946,5,5e-08
947,2,2e-08
948,2,2e-08
949,2,2e-08
950,2,2e-08
951,4,4e-08
952,3,3e-08
953,3,3e-08
954,2,2e-08
955,4,4e-08
956,4,4e-08
957,6,6e-08
958,0,0
959,6,6e-08
960,1,1e-08
961,0,0
962,2,2e-08
963,3,3e-08
964,4,4e-08
965,1,1e-08
966,4,4e-08
967,2,2e-08
968,4,4e-08
969,7,7e-08
970,4,4e-08
971,2,2e-08
972,2,2e-08
973,3,3e-08
974,4,4e-08
975,3,3e-08
976,4,4e-08
977,4,4e-08
978,4,4e-08
979,1,1e-08
980,1,1e-08
981,1,1e-08
982,3,3e-08
983,4,4e-08
984,5,5e-08
985,3,3e-08
986,1,1e-08
987,3,3e-08
988,1,1e-08
989,1,1e-08
990,4,4e-08
991,5,5e-08
992,2,2e-08
993,6,6e-08
994,1,1e-08
995,4,4e-08
996,2,2e-08
997,6,6e-08
998,4,4e-08
999,3,3e-08
1000,5,5e-08
1001,1,1e-08
1002,6,6e-08
1003,7,7e-08
1004,2,2e-08
1005,2,2e-08
1006,3,3e-08
1007,1,1e-08
1008,4,4e-08
1009,1,1e-08
1010,5,5e-08
1011,4,4e-08
1012,2,2e-08
1013,1,1e-08
1014,1,1e-08
1015,3,3e-08
1016,5,5e-08
1017,7,7e-08
1018,4,4e-08
1019,3,3e-08
1020,2,2e-08
1021,2,2e-08
1022,3,3e-08
1023,2,2e-08
1024,0,0
1025,4,4e-08
1026,4,4e-08
1027,2,2e-08
1028,4,4e-08
1029,1,1e-08
1030,2,2e-08
1031,5,5e-08
1032,2,2e-08
1033,6,6e-08
1034,2,2e-08
1035,1,1e-08
1036,4,4e-08
1037,5,5e-08
1038,3,3e-08
1039,3,3e-08
1040,5,5e-08
1041,2,2e-08
1042,3,3e-08
1043,2,2e-08
1044,4,4e-08
1045,9,9e-08
1046,5,5e-08
1047,2,2e-08
1048,3,3e-08
1049,5,5e-08
1050,3,3e-08
1051,5,5e-08
1052,3,3e-08
1053,2,2e-08
1054,4,4e-08
1055,2,2e-08
1056,1,1e-08
1057,2,2e-08
1058,1,1e-08
1059,2,2e-08
1060,6,6e-08
1061,1,1e-08
1062,1,1e-08
1063,4,4e-08
1064,1,1e-08
1065,0,0
1066,2,2e-08
1067,1,1e-08
1068,4,4e-08
1069,4,4e-08
1070,1,1e-08
1071,2,2e-08
1072,5,5e-08
1073,4,4e-08
1074,3,3e-08
1075,4,4e-08
1076,2,2e-08
1077,2,2e-08
1078,3,3e-08
1079,1,1e-08
1080,2,2e-08
1081,2,2e-08
1082,4,4e-08
1083,2,2e-08
1084,3,3e-08
1085,0,0
1086,2,2e-08
1087,3,3e-08
1088,5,5e-08
1089,5,5e-08
1090,4,4e-08
1091,2,2e-08
1092,2,2e-08
1093,3,3e-08
1094,1,1e-08
1095,3,3e-08
1096,1,1e-08
1097,3,3e-08
1098,4,4e-08
1099,1,1e-08
1100,4,4e-08
1101,2,2e-08
1102,1,1e-08
1103,4,4e-08
1104,3,3e-08
1105,4,4e-08
1106,3,3e-08
1107,3,3e-08
1108,3,3e-08
1109,3,3e-08
1110,3,3e-08
1111,1,1e-08
1112,5,5e-08
1113,1,1e-08
1114,2,2e-08
1115,2,2e-08
1116,1,1e-08
1117,3,3e-08
1118,2,2e-08
1119,0,0
1120,4,4e-08
1121,1,1e-08
1122,1,1e-08
1123,1,1e-08
1124,1,1e-08
1125,4,4e-08
1126,3,3e-08
1127,5,5e-08
1128,1,1e-08
1129,3,3e-08
1130,0,0
1131,3,3e-08
1132,7,7e-08
1133,3,3e-08
1134,6,6e-08
1135,3,3e-08
1136,1,1e-08
1137,1,1e-08
1138,1,1e-08
1139,3,3e-08
1140,1,1e-08
1141,3,3e-08
1142,6,6e-08
1143,2,2e-08
1144,3,3e-08
1145,2,2e-08
1146,5,5e-08
1147,4,4e-08
1148,3,3e-08
1149,4,4e-08
1150,1,1e-08
1151,3,3e-08
1152,6,6e-08
1153,3,3e-08
1154,2,2e-08
1155,4,4e-08
1156,3,3e-08
1157,1,1e-08
1158,4,4e-08
1159,1,1e-08
1160,4,4e-08
1161,6,6e-08
1162,2,2e-08
1163,2,2e-08
1164,3,3e-08
1165,3,3e-08
1166,1,1e-08
1167,4,4e-08
1168,7,7e-08
1169,4,4e-08
1170,8,8e-08
1171,1,1e-08
1172,1,1e-08
1173,2,2e-08
1174,2,2e-08
1175,4,4e-08
1176,4,4e-08
1177,0,0
1178,1,1e-08
1179,2,2e-08
1180,1,1e-08
1181,2,2e-08
1182,5,5e-08
1183,1,1e-08
1184,3,3e-08
1185,2,2e-08
1186,0,0
1187,3,3e-08
1188,5,5e-08
1189,4,4e-08
1190,6,6e-08
1191,2,2e-08
1192,3,3e-08
1193,2,2e-08
1194,4,4e-08
1195,2,2e-08
1196,0,0
1197,2,2e-08
1198,1,1e-08
1199,2,2e-08
1200,3,3e-08
1201,4,4e-08
1202,2,2e-08
1203,2,2e-08
1204,2,2e-08
1205,4,4e-08
1206,3,3e-08
1207,2,2e-08
1208,2,2e-08
1209,3,3e-08
1210,0,0
1211,3,3e-08
1212,4,4e-08
1213,2,2e-08
1214,2,2e-08
1215,0,0
1216,0,0
1217,1,1e-08
1218,9,9e-08
1219,5,5e-08
1220,1,1e-08
1221,3,3e-08
1222,3,3e-08
1223,1,1e-08
1224,2,2e-08
1225,2,2e-08
1226,7,7e-08
1227,2,2e-08
1228,3,3e-08
1229,3,3e-08
1230,1,1e-08
1231,1,1e-08
1232,1,1e-08
1233,3,3e-08
1234,3,3e-08
1235,1,1e-08
1236,6,6e-08
1237,4,4e-08
1238,6,6e-08
1239,0,0
1240,4,4e-08
1241,5,5e-08
1242,2,2e-08
1243,2,2e-08
1244,2,2e-08
1245,2,2e-08
1246,1,1e-08
1247,2,2e-08
1248,2,2e-08
1249,3,3e-08
1250,5,5e-08
1251,0,0
1252,2,2e-08
1253,4,4e-08
1254,1,1e-08
1255,0,0
1256,4,4e-08
1257,1,1e-08
1258,4,4e-08
1259,3,3e-08
1260,1,1e-08
1261,2,2e-08
1262,2,2e-08
1263,1,1e-08
1264,1,1e-08
1265,5,5e-08
1266,6,6e-08
1267,1,1e-08
1268,2,2e-08
1269,4,4e-08
1270,4,4e-08
1271,2,2e-08
1272,7,7e-08
1273,4,4e-08
1274,1,1e-08
1275,4,4e-08
1276,3,3e-08
1277,9,9e-08
1278,0,0
1279,2,2e-08
1280,1,1e-08
1281,1,1e-08
1282,3,3e-08
1283,2,2e-08
1284,1,1e-08
1285,3,3e-08
1286,5,5e-08
1287,5,5e-08
1288,4,4e-08
1289,2,2e-08
1290,1,1e-08
1291,2,2e-08
1292,3,3e-08
1293,3,3e-08
1294,2,2e-08
1295,3,3e-08
1296,6,6e-08
1297,1,1e-08
1298,1,1e-08
1299,3,3e-08
1300,4,4e-08
1301,3,3e-08
1302,3,3e-08
1303,2,2e-08
1304,2,2e-08
1305,3,3e-08
1306,5,5e-08
1307,1,1e-08
1308,2,2e-08
1309,3,3e-08
1310,4,4e-08
1311,2,2e-08
1312,3,3e-08
1313,2,2e-08
1314,2,2e-08
1315,3,3e-08
1316,1,1e-08
1317,2,2e-08
1318,4,4e-08
1319,5,5e-08
1320,4,4e-08
1321,2,2e-08
1322,3,3e-08
1323,4,4e-08
1324,0,0
1325,1,1e-08
1326,3,3e-08
1327,1,1e-08
1328,1,1e-08
1329,1,1e-08
1330,3,3e-08
1331,7,7e-08
1332,3,3e-08
1333,5,5e-08
1334,4,4e-08
1335,1,1e-08
1336,1,1e-08
1337,4,4e-08
1338,3,3e-08
1339,4,4e-08
1340,3,3e-08
1341,3,3e-08
1342,2,2e-08
1343,4,4e-08
1344,2,2e-08
1345,2,2e-08
1346,1,1e-08
1347,1,1e-08
1348,0,0
1349,2,2e-08
1350,2,2e-08
1351,7,7e-08
1352,6,6e-08
1353,4,4e-08
1354,4,4e-08
1355,5,5e-08
1356,3,3e-08
1357,5,5e-08
1358,2,2e-08
1359,2,2e-08
1360,3,3e-08
1361,2,2e-08
1362,1,1e-08
1363,2,2e-08
1364,1,1e-08
1365,3,3e-08
1366,1,1e-08
1367,3,3e-08
1368,1,1e-08
1369,1,1e-08
1370,3,3e-08
1371,3,3e-08
1372,1,1e-08
1373,4,4e-08
1374,2,2e-08
1375,3,3e-08
1376,3,3e-08
1377,6,6e-08
1378,4,4e-08
1379,7,7e-08
1380,3,3e-08
1381,4,4e-08
1382,3,3e-08
1383,1,1e-08
1384,4,4e-08
1385,3,3e-08
1386,2,2e-08
1387,2,2e-08
1388,0,0
1389,2,2e-08
1390,2,2e-08
1391,1,1e-08
1392,1,1e-08
1393,0,0
1394,0,0
1395,4,4e-08
1396,5,5e-08
1397,1,1e-08
1398,1,1e-08
1399,0,0
1400,1,1e-08
1401,4,4e-08
1402,1,1e-08
1403,1,1e-08
1404,1,1e-08
1405,6,6e-08
1406,0,0
1407,0,0
1408,2,2e-08
1409,1,1e-08
1410,4,4e-08
1411,5,5e-08
1412,1,1e-08
1413,3,3e-08
1414,3,3e-08
1415,1,1e-08
1416,0,0
1417,1,1e-08
1418,3,3e-08
1419,3,3e-08
1420,7,7e-08
1421,3,3e-08
1422,4,4e-08
1423,4,4e-08
1424,3,3e-08
1425,2,2e-08
1426,3,3e-08
1427,2,2e-08
