metric,value
n_events,100000000
n_hits_in_crystal,7758
n_overflow,4270
r_disk_mm,900
z_disk_mm,300
disk_area_cm2,25446.90049
pdg_expected_per_s,424.9632383
e_lo_gev,0.3
e_hi_gev,100
max_edep_keV,19708.55922

bin_keV,counts,per_muon
1259,2,2e-08
1260,3,3e-08
1261,0,0
1262,2,2e-08
1263,0,0
1264,3,3e-08
1265,0,0
1266,1,1e-08
1267,1,1e-08
1268,0,0
1269,2,2e-08
1270,3,3e-08
1271,1,1e-08
1272,1,1e-08
1273,0,0
1274,0,0
1275,0,0
1276,0,0
1277,3,3e-08
1278,3,3e-08
1279,1,1e-08
1280,1,1e-08
1281,1,1e-08
1282,0,0
1283,0,0
1284,2,2e-08
1285,2,2e-08
1286,1,1e-08
1287,1,1e-08
1288,1,1e-08
1289,0,0
1290,1,1e-08
1291,1,1e-08
1292,1,1e-08
1293,1,1e-08
1294,2,2e-08
1295,1,1e-08
1296,3,3e-08
1297,0,0
1298,2,2e-08
1299,0,0
1300,2,2e-08
1301,1,1e-08
1302,0,0
1303,2,2e-08
1304,1,1e-08
1305,2,2e-08
1306,0,0
1307,0,0
1308,4,4e-08
1309,1,1e-08
1310,2,2e-08
1311,1,1e-08
1312,1,1e-08
1313,2,2e-08
1314,0,0
1315,1,1e-08
1316,1,1e-08
1317,0,0
1318,1,1e-08
1319,0,0
1320,0,0
1321,2,2e-08
1322,0,0
1323,1,1e-08
1324,2,2e-08
1325,2,2e-08
1326,1,1e-08
1327,3,3e-08
1328,1,1e-08
1329,2,2e-08
1330,1,1e-08
1331,1,1e-08
1332,1,1e-08
1333,2,2e-08
1334,3,3e-08
1335,0,0
1336,0,0
1337,3,3e-08
1338,1,1e-08
1339,0,0
1340,1,1e-08
1341,1,1e-08
1342,2,2e-08
1343,1,1e-08
1344,0,0
1345,1,1e-08
1346,1,1e-08
1347,1,1e-08
1348,1,1e-08
1349,2,2e-08
1350,3,3e-08
1351,1,1e-08
1352,0,0
1353,1,1e-08
1354,0,0
1355,1,1e-08
1356,0,0
1357,0,0
1358,1,1e-08
1359,0,0
1360,1,1e-08
1361,2,2e-08
1362,0,0
1363,3,3e-08
1364,2,2e-08
1365,1,1e-08
1366,1,1e-08
1367,1,1e-08
1368,0,0
1369,1,1e-08
1370,1,1e-08
1371,1,1e-08
1372,1,1e-08
1373,3,3e-08
1374,2,2e-08
1375,1,1e-08
1376,0,0
1377,1,1e-08
1378,0,0
1379,1,1e-08
1380,1,1e-08
1381,1,1e-08
1382,1,1e-08
1383,0,0
1384,1,1e-08
1385,0,0
1386,2,2e-08
1387,3,3e-08
1388,3,3e-08
1389,1,1e-08
1390,1,1e-08
1391,3,3e-08
1392,1,1e-08
1393,3,3e-08
1394,1,1e-08
1395,2,2e-08
1396,1,1e-08
1397,1,1e-08
1398,0,0
1399,1,1e-08
1400,1,1e-08
1401,2,2e-08
1402,2,2e-08
1403,1,1e-08
1404,1,1e-08
1405,3,3e-08
1406,0,0
1407,3,3e-08
1408,1,1e-08
1409,0,0
1410,0,0
1411,3,3e-08
1412,1,1e-08
1413,3,3e-08
1414,1,1e-08
1415,0,0
1416,2,2e-08
1417,2,2e-08
1418,1,1e-08
1419,1,1e-08
1420,3,3e-08
1421,0,0
1422,0,0
1423,0,0
1424,0,0
1425,1,1e-08
1426,1,1e-08
1427,0,0
1428,2,2e-08
1429,0,0
1430,1,1e-08
1431,0,0
1432,0,0
1433,1,1e-08
1434,1,1e-08
1435,0,0
1436,0,0
1437,1,1e-08
1438,1,1e-08
1439,1,1e-08
1440,2,2e-08
1441,1,1e-08
1442,2,2e-08
1443,0,0
1444,0,0
1445,0,0
1446,0,0
1447,1,1e-08
1448,3,3e-08
1449,2,2e-08
1450,1,1e-08
1451,1,1e-08
1452,1,1e-08
1453,1,1e-08
1454,2,2e-08
1455,1,1e-08
1456,2,2e-08
1457,2,2e-08
1458,1,1e-08
1459,5,5e-08
1460,1,1e-08
1461,0,0
1462,0,0
1463,0,0
1464,0,0
1465,0,0
1466,0,0
1467,0,0
1468,1,1e-08
1469,2,2e-08
1470,1,1e-08
1471,3,3e-08
1472,1,1e-08
1473,0,0
1474,4,4e-08
1475,1,1e-08
1476,2,2e-08
1477,1,1e-08
1478,4,4e-08
1479,2,2e-08
1480,2,2e-08
1481,3,3e-08
1482,2,2e-08
1483,0,0
1484,0,0
1485,0,0
1486,1,1e-08
1487,2,2e-08
1488,2,2e-08
1489,3,3e-08
1490,1,1e-08
1491,1,1e-08
1492,0,0
1493,1,1e-08
