metric,value
n_events,100000000
n_hits_in_crystal,7857
n_overflow,4346
r_disk_mm,900
z_disk_mm,300
disk_area_cm2,25446.90049
pdg_expected_per_s,424.9632383
e_lo_gev,0.3
e_hi_gev,100
max_edep_keV,20530.84348

bin_keV,counts,per_muon
1370,0,0
1371,4,4e-08
1372,0,0
1373,0,0
1374,0,0
1375,0,0
1376,1,1e-08
1377,1,1e-08
1378,1,1e-08
1379,2,2e-08
1380,0,0
1381,0,0
1382,1,1e-08
1383,0,0
1384,2,2e-08
1385,0,0
1386,0,0
1387,2,2e-08
1388,1,1e-08
1389,0,0
1390,0,0
1391,0,0
1392,3,3e-08
1393,3,3e-08
1394,2,2e-08
1395,0,0
1396,1,1e-08
1397,0,0
1398,2,2e-08
1399,2,2e-08
1400,2,2e-08
1401,1,1e-08
1402,2,2e-08
1403,1,1e-08
1404,0,0
1405,1,1e-08
1406,0,0
1407,0,0
1408,3,3e-08
1409,1,1e-08
1410,1,1e-08
1411,1,1e-08
1412,2,2e-08
1413,1,1e-08
1414,2,2e-08
1415,1,1e-08
1416,1,1e-08
1417,2,2e-08
1418,0,0
1419,1,1e-08
1420,2,2e-08
1421,2,2e-08
1422,2,2e-08
1423,1,1e-08
1424,3,3e-08
1425,0,0
1426,0,0
1427,3,3e-08
1428,1,1e-08
1429,0,0
1430,1,1e-08
1431,1,1e-08
1432,2,2e-08
1433,0,0
1434,1,1e-08
1435,0,0
1436,0,0
1437,0,0
1438,1,1e-08
1439,2,2e-08
1440,1,1e-08
1441,0,0
1442,0,0
1443,0,0
1444,1,1e-08
1445,0,0
1446,1,1e-08
1447,0,0
1448,3,3e-08
1449,0,0
1450,2,2e-08
1451,2,2e-08
1452,2,2e-08
1453,2,2e-08
1454,0,0
1455,0,0
1456,1,1e-08
1457,1,1e-08
1458,1,1e-08
1459,1,1e-08
1460,4,4e-08
1461,1,1e-08
1462,1,1e-08
1463,1,1e-08
1464,0,0
1465,3,3e-08
1466,2,2e-08
1467,3,3e-08
1468,2,2e-08
1469,4,4e-08
1470,2,2e-08
1471,0,0
1472,2,2e-08
1473,0,0
1474,1,1e-08
1475,2,2e-08
1476,1,1e-08
1477,1,1e-08
1478,0,0
1479,1,1e-08
1480,0,0
1481,0,0
1482,1,1e-08
1483,0,0
1484,0,0
1485,0,0
1486,1,1e-08
1487,3,3e-08
1488,0,0
1489,0,0
1490,2,2e-08
1491,1,1e-08
1492,1,1e-08
1493,0,0
1494,0,0
1495,1,1e-08
1496,1,1e-08
1497,0,0
1498,2,2e-08
1499,1,1e-08
1500,4,4e-08
1501,3,3e-08
1502,0,0
1503,1,1e-08
1504,0,0
1505,0,0
1506,2,2e-08
1507,0,0
1508,0,0
1509,1,1e-08
1510,0,0
1511,1,1e-08
1512,1,1e-08
1513,2,2e-08
1514,1,1e-08
1515,2,2e-08
1516,1,1e-08
1517,4,4e-08
1518,0,0
1519,1,1e-08
1520,0,0
1521,1,1e-08
1522,2,2e-08
1523,2,2e-08
1524,0,0
1525,2,2e-08
1526,1,1e-08
1527,1,1e-08
1528,3,3e-08
1529,0,0
1530,3,3e-08
1531,1,1e-08
1532,2,2e-08
1533,1,1e-08
1534,2,2e-08
1535,0,0
1536,2,2e-08
1537,1,1e-08
1538,4,4e-08
1539,1,1e-08
1540,0,0
1541,1,1e-08
1542,2,2e-08
1543,1,1e-08
1544,0,0
1545,3,3e-08
1546,0,0
1547,2,2e-08
1548,0,0
1549,2,2e-08
1550,0,0
1551,1,1e-08
1552,1,1e-08
1553,1,1e-08
1554,1,1e-08
1555,1,1e-08
1556,1,1e-08
1557,1,1e-08
1558,0,0
1559,3,3e-08
1560,1,1e-08
1561,0,0
1562,1,1e-08
1563,0,0
1564,2,2e-08
1565,2,2e-08
1566,0,0
1567,1,1e-08
1568,1,1e-08
1569,1,1e-08
1570,2,2e-08
1571,1,1e-08
1572,1,1e-08
1573,0,0
1574,1,1e-08
1575,4,4e-08
1576,1,1e-08
1577,1,1e-08
1578,0,0
1579,2,2e-08
1580,1,1e-08
1581,3,3e-08
1582,0,0
1583,1,1e-08
1584,3,3e-08
1585,1,1e-08
1586,1,1e-08
